Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24840.0,44195.0,53500.0,56559.0,56971.0,56971.0,56971.0,56988.0,57009.0,57010.0,57010.0,57010.0,57011.0,57011.0,57011.0,70192.0,240556.0,414582.0,583274.0,611123.0,619757.0,841230.0,1083699.0,1356120.0,1607473.0,1836710.0,1866229.0,1870696.0,2136558.0,2356582.0,2544624.0,2699882.0,2842002.0,2851643.0,2852805.0,2960916.0,3055126.0,3141226.0,3227152.0,3305404.0,3315383.0,3315738.0,3452831.0,3611698.0,3769488.0,3914166.0,4050370.0,4060017.0,4061081.0,4197624.0,4336577.0,4472318.0,4643701.0,4794873.0,4819164.0,4821912.0,4979605.0,5145897.0,5296682.0,5444625.0,5580409.0,5603554.0,5606397.0,5750299.0,5897208.0,6049985.0,6206393.0,6372270.0,6385163.0,6386132.0,6536858.0,6670065.0,6796577.0,6930871.0,6932719.0,6934595.0,6935252.0,7014722.0,7107226.0,7201571.0,7277808.0,7348162.0,7359257.0,7360344.0,7437951.0,7512370.0,7591088.0,7652644.0,7710435.0,7718255.0,7719115.0,7762807.0,7801791.0,7832794.0,7888994.0,7928727.0,7934435.0,7934786.0,7977669.0,8016499.0,8059864.0,8090580.0,8141194.0,8142258.0,8143055.0,8218899.0,8299780.0,8381140.0,8462553.0,8546358.0,8563658.0,8564618.0,8667749.0,8774919.0,8879500.0,8976340.0,9079260.0,9080302.0,9080567.0,9204982.0,9340558.0,9465278.0,9591993.0,9599712.0,9626201.0,9629898.0,9805380.0,9994647.0,10174787.0,10341022.0,10485919.0,10527373.0,10536473.0,10691789.0,10830374.0,10938809.0,10993934.0,11035936.0,11050594.0,11052564.0,11106043.0,11165705.0,11241604.0,11337464.0,11417597.0,11440255.0,11441675.0,11546346.0,11631005.0,11736184.0,11806784.0,11867876.0,11884392.0,11886184.0,11893452.0,11992524.0,12067661.0,12114634.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24966.0,44344.0,52685.0,55569.0,55779.0,55812.0,55812.0,55812.0,55823.0,55823.0,55824.0,55824.0,55824.0,55824.0,55846.0,55886.0,56059.0,56203.0,56321.0,56325.0,56325.0,56734.0,69148.0,223200.0,389002.0,550571.0,574702.0,581596.0,795578.0,1033068.0,1298570.0,1544162.0,1767236.0,1793394.0,1797230.0,2069629.0,2313192.0,2529199.0,2715295.0,2870022.0,2881009.0,2882185.0,3004123.0,3094673.0,3159449.0,3214644.0,3265728.0,3268476.0,3268899.0,3384375.0,3528951.0,3682099.0,3850555.0,3855734.0,3857079.0,3857540.0,4062277.0,4208797.0,4347072.0,4509735.0,4657710.0,4672538.0,4673893.0,4832552.0,4992444.0,5141971.0,5285920.0,5418549.0,5432886.0,5434642.0,5583082.0,5729911.0,5874769.0,6017967.0,6161077.0,6172961.0,6173649.0,6326476.0,6457989.0,6582914.0,6706918.0,6743664.0,6744865.0,6745526.0,6820906.0,6908891.0,7001891.0,7077993.0,7141368.0,7149508.0,7149951.0,7219850.0,7304409.0,7382229.0,7442193.0,7497858.0,7498261.0,7498431.0,7545104.0,7592403.0,7633369.0,7696447.0,7697796.0,7704051.0,7704638.0,7765474.0,7821963.0,7870102.0,7906142.0,7946748.0,7952496.0,7953464.0,8012847.0,8084087.0,8155702.0,8224085.0,8292298.0,8305311.0,8306526.0,8406289.0,8510304.0,8610239.0,8703549.0,8797401.0,8806761.0,8807352.0,8919386.0,9040724.0,9156847.0,9264949.0,9307482.0,9327006.0,9329111.0,9340638.0,9536891.0,9692457.0,9824135.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10437.0,33734.0,73316.0,107624.0,117529.0,119319.0,146764.0,166825.0,183501.0,196615.0,200663.0,201055.0,201104.0,205295.0,208963.0,212876.0,215897.0,218223.0,218500.0,218512.0,218613.0,222332.0,234708.0,296764.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52749.0,52749.0,54268.0,55796.0,57059.0,58058.0,59264.0,59593.0,59593.0,60824.0,61809.0,62542.0,62977.0,63242.0,63280.0,63314.0,63654.0,64111.0,64650.0,65272.0,65619.0,65671.0,65715.0,65963.0,66145.0,66316.0,66496.0,66630.0,66646.0,66659.0,66659.0,66851.0,67086.0,67339.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44510.0,44562.0,44562.0,45065.0,45559.0,45932.0,46367.0,46660.0,46692.0,46705.0,47120.0,47695.0,48143.0,48543.0,48911.0,48983.0,48993.0,49431.0,49946.0,50543.0,51100.0,51381.0,51591.0,51645.0,51648.0,53479.0,54845.0,55991.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4226.0,4486.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198110.0,203053.0,207759.0,208052.0,208508.0,208703.0,211852.0,215325.0,219126.0,222188.0,224741.0,225254.0,225398.0,228681.0,231782.0,234850.0,237462.0,239987.0,240971.0,241105.0,242565.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292947.0,298337.0,303051.0,307577.0,308098.0,309127.0,309331.0,316397.0,324204.0,330054.0,336562.0,342414.0,342663.0,342792.0,349245.0,351678.0,353597.0,356165.0,359195.0,359732.0,359752.0,362787.0,366212.0,370561.0,374898.0,378448.0,379708.0,379731.0,383585.0,387158.0,391412.0,394482.0,397194.0,397548.0,397599.0,398337.0,402191.0,405939.0,407565.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148313.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189563.0,193650.0,198674.0,200548.0,200707.0,200838.0,204055.0,207601.0,211573.0,214555.0,217110.0,217666.0,217787.0,220592.0,223856.0,226770.0,228939.0,231278.0,231371.0,231480.0,233395.0,235118.0,236470.0,238360.0,238495.0,238790.0,238823.0,240639.0,242304.0,243372.0,244434.0,245844.0,245883.0,245914.0,248101.0,250452.0,253000.0,255402.0,257510.0,257866.0,257914.0,261658.0,265317.0,268756.0,272063.0,275409.0,276038.0,276140.0,280428.0,285004.0,289545.0,293629.0,295597.0,296116.0,296266.0,297429.0,305255.0,311884.0,316547.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11692.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14958.0,17978.0,20735.0,23618.0,23734.0,23734.0,26383.0,28464.0,30627.0,32758.0,34822.0,34877.0,34877.0,36869.0,38780.0,40104.0,41246.0,43298.0,43494.0,43494.0,44976.0,46184.0,47197.0,48026.0,49031.0,49097.0,49099.0,50229.0,51249.0,52479.0,54121.0,55458.0,55558.0,55558.0,56825.0,58488.0,60022.0,62176.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70383.0,70383.0,71740.0,73119.0,74329.0,75493.0,75579.0,75721.0,75722.0,76692.0,78083.0,79010.0,79946.0,80205.0,80206.0,80206.0,81131.0,82051.0,83054.0,83776.0,84474.0,84505.0,84505.0,85250.0,86006.0,86690.0,87671.0,88079.0,88139.0,88139.0,88748.0,89502.0,90128.0,90554.0,90998.0,91003.0,91003.0,91888.0,92701.0,93843.0,94783.0,95627.0,95711.0,95711.0,96906.0,98200.0,99394.0,100625.0,101726.0,101786.0,101792.0,103043.0,104460.0,105905.0,107431.0,107588.0,108383.0,108383.0,110408.0,112834.0,114892.0,117149.0,119039.0,119453.0,119454.0,121514.0,123434.0,123924.0,123931.0,123949.0,123952.0,123952.0,124134.0,125546.0,127253.0,129256.0,130963.0,131532.0,131537.0,133254.0,134891.0,136462.0,137671.0,138765.0,139071.0,139071.0,139148.0,140492.0,141834.0,143231.0
