Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12824.0,13781.0,13804.0,13804.0,24855.0,44215.0,53524.0,56581.0,56993.0,56993.0,56993.0,57010.0,57031.0,57032.0,57032.0,57032.0,57033.0,57033.0,57033.0,70215.0,240581.0,414607.0,583338.0,611188.0,619824.0,841305.0,1083762.0,1356188.0,1607547.0,1836791.0,1866312.0,1870779.0,2136647.0,2356679.0,2544721.0,2699981.0,2842106.0,2851748.0,2852910.0,2961019.0,3055220.0,3141322.0,3227257.0,3305530.0,3315573.0,3315928.0,3453082.0,3612040.0,3769888.0,3914623.0,4050844.0,4060489.0,4061554.0,4198161.0,4337202.0,4473023.0,4644469.0,4795710.0,4820000.0,4822748.0,4980595.0,5147207.0,5298497.0,5447301.0,5587070.0,5610250.0,5613102.0,5759841.0,5910107.0,6064396.0,6221862.0,6388437.0,6401379.0,6402348.0,6553604.0,6687580.0,6814665.0,6949459.0,6951309.0,6953189.0,6953845.0,7033773.0,7126926.0,7221824.0,7298569.0,7369454.0,7380645.0,7381742.0,7459843.0,7534855.0,7614201.0,7676497.0,7734896.0,7742798.0,7743674.0,7787563.0,7826775.0,7857923.0,7914289.0,7954126.0,7959875.0,7960226.0,8003290.0,8042314.0,8085810.0,8116674.0,8167606.0,8168697.0,8169496.0,8245485.0,8326535.0,8408022.0,8489604.0,8573687.0,8591072.0,8592032.0,8695332.0,8802740.0,8907572.0,9004578.0,9107802.0,9108852.0,9109117.0,9233696.0,9369780.0,9495543.0,9624024.0,9632326.0,9659140.0,9662839.0,9838682.0,10028530.0,10209166.0,10376083.0,10521506.0,10563096.0,10572215.0,10728143.0,10867537.0,10976607.0,11032206.0,11074581.0,11089332.0,11091311.0,11145174.0,11205382.0,11281970.0,11378294.0,11458894.0,11481612.0,11483035.0,11588064.0,11673117.0,11778678.0,11849610.0,11911051.0,11927612.0,11929407.0,11936724.0,12036303.0,12111803.0,12160228.0,12198388.0,12209449.0,12210476.0,12211716.0,12251560.0,12299565.0,12386380.0,12451758.0,12467285.0,12469289.0,12516989.0,12560610.0,12634314.0,12692305.0,12742836.0,12762822.0,12765217.0,12814368.0,12894446.0,12949033.0,13020183.0,13022297.0,13032234.0,13033162.0,13080722.0,13120760.0,13153844.0,13189339.0,13246705.0,13269586.0,13271551.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44365.0,52709.0,55595.0,55805.0,55838.0,55838.0,55838.0,55849.0,55849.0,55850.0,55850.0,55850.0,55850.0,55872.0,55912.0,56086.0,56230.0,56348.0,56352.0,56352.0,56761.0,69177.0,223238.0,389062.0,550673.0,574808.0,581705.0,795721.0,1033200.0,1298733.0,1544345.0,1767450.0,1793611.0,1797447.0,2069886.0,2313487.0,2529518.0,2715643.0,2870421.0,2881435.0,2882606.0,3004613.0,3095202.0,3160000.0,3215217.0,3266315.0,3269063.0,3269486.0,3384985.0,3529653.0,3682869.0,3851397.0,3856575.0,3857920.0,3858382.0,4063238.0,4209867.0,4348250.0,4511032.0,4659094.0,4673930.0,4675286.0,4834159.0,4994451.0,5144579.0,5289445.0,5425183.0,5439608.0,5441370.0,5592410.0,5742496.0,5888912.0,6033237.0,6177013.0,6188944.0,6189634.0,6343234.0,6475693.0,6601331.0,6725843.0,6762758.0,6763965.0,6764631.0,6840445.0,6929029.0,7022612.0,7099236.0,7163095.0,7171301.0,7171745.0,7242116.0,7327422.0,7405914.0,7466564.0,7522785.0,7523192.0,7523363.0,7570395.0,7618032.0,7659249.0,7722570.0,7723930.0,7730210.0,7730798.0,7791878.0,7848743.0,7897072.0,7933317.0,7974177.0,7979953.0,7980926.0,8040537.0,8112062.0,8183832.0,8252386.0,8320812.0,8333867.0,8335095.0,8435138.0,8539542.0,8639836.0,8733414.0,8827699.0,8837093.0,8837688.0,8950089.0,9071990.0,9189283.0,9299094.0,9342418.0,9362222.0,9364339.0,9375895.0,9573769.0,9730895.0,9866241.0,9983883.0,10014603.0,10017840.0,10020760.0,10189481.0,10315774.0,10393153.0,10454570.0,10472499.0,10474420.0,10543964.0,10609591.0,10683119.0,10768791.0,10844388.0,10863270.0,10865435.0,10962889.0,11048005.0,11143046.0,11227055.0,11229288.0,11241499.0,11242569.0,11308132.0,11395451.0,11462501.0,11502221.0,11555792.0,11565349.0,11566097.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10451.0,33756.0,73364.0,107717.0,117625.0,119415.0,146873.0,166944.0,183669.0,196808.0,200855.0,201247.0,201296.0,205466.0,209135.0,213089.0,216132.0,218508.0,218786.0,218798.0,218876.0,222637.0,235050.0,298592.0,348645.0,358718.0,359973.0,361198.0,393087.0,415940.0,429941.0,441399.0,444826.0,445226.0,455624.0,463210.0,467999.0,471860.0,475777.0,477350.0,477521.0,481593.0,484426.0,487141.0,492445.0,492542.0,493011.0,493113.0,495742.0,497473.0,498869.0,500441.0,501646.0,503069.0,503073.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67133.0,67149.0,67162.0,67162.0,67354.0,67598.0,67869.0,68149.0,68205.0,68218.0,68218.0,68387.0,68552.0,69010.0,69355.0,69414.0,69423.0,69598.0,69837.0,70304.0,70761.0,71091.0,71173.0,71173.0,71459.0,72041.0,72475.0,72893.0,72893.0,73008.0,73039.0,73274.0,73572.0,73802.0,74236.0,74547.0,74640.0,74640.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46492.0,46785.0,46817.0,46830.0,47246.0,47826.0,48274.0,48674.0,49042.0,49114.0,49124.0,49566.0,50082.0,50680.0,51239.0,51520.0,51730.0,51784.0,51787.0,53624.0,55002.0,56168.0,57182.0,57444.0,57505.0,57506.0,59222.0,60278.0,60908.0,61386.0,61477.0,61508.0,61974.0,62469.0,63115.0,63766.0,64225.0,64307.0,64307.0,64686.0,64955.0,65248.0,65508.0,65508.0,65552.0,65585.0,65734.0,65965.0,66208.0,66487.0,66749.0,66815.0,66815.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1951.0,2226.0,2489.0,2537.0,2554.0,2847.0,3137.0,3433.0,3588.0,3744.0,3771.0,3781.0,3781.0,4001.0,4233.0,4510.0,4685.0,4729.0,4735.0,4735.0,4938.0,5123.0,5236.0,5327.0,5375.0,5378.0,5487.0,5586.0,5677.0,5770.0,5867.0,5891.0,5891.0,6011.0,6082.0,6154.0,6261.0,6261.0,6296.0,6303.0,6452.0,6566.0,6667.0,6767.0,6871.0,6903.0,6903.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12793.0,15852.0,16036.0,16036.0,19620.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88980.0,93741.0,98488.0,102857.0,106602.0,106609.0,106609.0,110897.0,116088.0,120708.0,126430.0,131634.0,131753.0,131753.0,136821.0,142328.0,148333.0,153549.0,158817.0,159179.0,159223.0,165234.0,171357.0,177015.0,182286.0,187516.0,187901.0,188087.0,193640.0,198738.0,203696.0,208408.0,208701.0,209157.0,209352.0,212533.0,216027.0,219858.0,222952.0,225537.0,226056.0,226200.0,229511.0,232644.0,235739.0,238368.0,240915.0,241902.0,242036.0,243498.0,244512.0,245382.0,246967.0,248084.0,248650.0,248675.0,249630.0,250543.0,251441.0,252150.0,253543.0,253576.0,253612.0,256450.0,259818.0,263009.0,266172.0,269047.0,270286.0,270541.0,274431.0,278311.0,281911.0,285337.0,289021.0,289296.0,289376.0,293997.0,299389.0,304106.0,308633.0,309154.0,310183.0,310387.0,317457.0,325266.0,331126.0,337641.0,343503.0,343752.0,343881.0,350339.0,352782.0,354714.0,357288.0,360334.0,360871.0,360891.0,363943.0,367389.0,371764.0,376114.0,379682.0,380945.0,380968.0,384835.0,388415.0,392675.0,395748.0,398467.0,398821.0,398872.0,399616.0,403476.0,407226.0,408859.0,409606.0,409725.0,409738.0,410181.0,411600.0,413578.0,416755.0,419224.0,419660.0,419694.0,421697.0,423589.0,426469.0,429014.0,431297.0,431980.0,432017.0,434545.0,438158.0,441150.0,444022.0,444803.0,445691.0,445727.0,448648.0,451637.0,454433.0,458286.0,461615.0,462218.0,462233.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56572.0,62594.0,67424.0,72059.0,72214.0,72219.0,75788.0,78326.0,80390.0,82146.0,83735.0,83738.0,83758.0,87335.0,91741.0,96132.0,101137.0,101169.0,101175.0,101181.0,107407.0,112602.0,117321.0,121325.0,127131.0,127338.0,127352.0,132815.0,137956.0,143348.0,148429.0,153102.0,153837.0,153892.0,160101.0,165589.0,170775.0,175849.0,180654.0,181207.0,181369.0,186492.0,190187.0,194288.0,199320.0,201198.0,201357.0,201488.0,204729.0,208299.0,212299.0,215299.0,217891.0,218453.0,218575.0,221407.0,224705.0,227641.0,229824.0,232181.0,232274.0,232383.0,234306.0,236048.0,237405.0,239297.0,239433.0,239736.0,239769.0,241596.0,243280.0,244352.0,245415.0,246829.0,246868.0,246899.0,249087.0,251442.0,253993.0,256396.0,258509.0,258866.0,258914.0,262683.0,266361.0,269807.0,273116.0,276468.0,277097.0,277199.0,281492.0,286070.0,290617.0,294705.0,296674.0,297193.0,297343.0,298507.0,306338.0,312980.0,317675.0,321901.0,322660.0,322686.0,323261.0,328171.0,331269.0,333877.0,336566.0,337120.0,337153.0,340428.0,343687.0,347366.0,351231.0,354227.0,355173.0,355205.0,359191.0,362800.0,366532.0,370209.0,371012.0,371814.0,371876.0,374805.0,378780.0,382233.0,384496.0,386179.0,386419.0,386424.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.0,5941.0,7632.0,8425.0,8456.0,8456.0,8951.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9146.0,11696.0,14557.0,15198.0,15202.0,15300.0,17032.0,18023.0,18561.0,19122.0,19162.0,19177.0,19620.0,19961.0,20167.0,20299.0,20381.0,20543.0,20550.0,20767.0,20896.0,20954.0,20975.0,20978.0,20982.0,20982.0,21006.0,21019.0,21035.0,21058.0,21066.0,21067.0,21068.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12419.0,14972.0,17992.0,20749.0,23634.0,23751.0,23751.0,26402.0,28482.0,30643.0,32774.0,34838.0,34893.0,34893.0,36885.0,38796.0,40120.0,41262.0,43315.0,43511.0,43511.0,44996.0,46205.0,47219.0,48048.0,49053.0,49117.0,49119.0,50255.0,51275.0,52507.0,54150.0,55486.0,55585.0,55585.0,56858.0,58527.0,60069.0,62249.0,63345.0,63409.0,63409.0,64588.0,65931.0,67382.0,68882.0,70420.0,70550.0,70550.0,71912.0,73303.0,74519.0,75683.0,75769.0,75911.0,75912.0,76883.0,78281.0,79216.0,80158.0,80417.0,80418.0,80418.0,81343.0,82272.0,83282.0,84004.0,84703.0,84734.0,84734.0,85479.0,86237.0,86924.0,87905.0,88313.0,88377.0,88377.0,88989.0,89744.0,90375.0,90802.0,91247.0,91252.0,91252.0,92142.0,92960.0,94106.0,95046.0,95891.0,95976.0,95976.0,97172.0,98471.0,99671.0,100904.0,102006.0,102066.0,102072.0,103332.0,104760.0,106224.0,107761.0,107919.0,108724.0,108724.0,110768.0,113208.0,115270.0,117539.0,119488.0,119908.0,119909.0,121996.0,123921.0,124417.0,124424.0,124442.0,124445.0,124445.0,124628.0,126050.0,127762.0,129799.0,131512.0,132082.0,132089.0,133811.0,135502.0,137139.0,138352.0,139458.0,139764.0,139764.0,139841.0,141192.0,142568.0,144068.0,145312.0,145723.0,145723.0,145726.0,145939.0,146180.0,146894.0,147443.0,147615.0,147615.0,148059.0,148619.0,149423.0,150555.0,151633.0,152054.0,152054.0,153173.0,154585.0,155745.0,156774.0,156774.0,157277.0,157277.0,158472.0,159534.0,160528.0,161715.0,162966.0,163655.0,163655.0
