Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70224.0,240596.0,414626.0,583394.0,611245.0,619881.0,841388.0,1083874.0,1356309.0,1607696.0,1836961.0,1866483.0,1870950.0,2136803.0,2356865.0,2544907.0,2700173.0,2842301.0,2851943.0,2853105.0,2961209.0,3055411.0,3141512.0,3227448.0,3305727.0,3315770.0,3316125.0,3453277.0,3612237.0,3770082.0,3914819.0,4051036.0,4060680.0,4061745.0,4198342.0,4337378.0,4473192.0,4644628.0,4795862.0,4820150.0,4822898.0,4980749.0,5147384.0,5298663.0,5447478.0,5587242.0,5610422.0,5613274.0,5760021.0,5910300.0,6064585.0,6222050.0,6388636.0,6401580.0,6402549.0,6553803.0,6687782.0,6814867.0,6949662.0,6951519.0,6953400.0,6954058.0,7033990.0,7127148.0,7222047.0,7298799.0,7369683.0,7380874.0,7381971.0,7460078.0,7535099.0,7614447.0,7676745.0,7735144.0,7743045.0,7743921.0,7787818.0,7827027.0,7858178.0,7914542.0,7954384.0,7960132.0,7960483.0,8003548.0,8042570.0,8086066.0,8116934.0,8167871.0,8168963.0,8169762.0,8245769.0,8326826.0,8408322.0,8489909.0,8573993.0,8591377.0,8592337.0,8695640.0,8803048.0,8907890.0,9004900.0,9108139.0,9109189.0,9109454.0,9234040.0,9370140.0,9495883.0,9624370.0,9632672.0,9659501.0,9663198.0,9839052.0,10028908.0,10209572.0,10376504.0,10521948.0,10563544.0,10572663.0,10728617.0,10868043.0,10977136.0,11032738.0,11075121.0,11089872.0,11091851.0,11145729.0,11205956.0,11282565.0,11378902.0,11459514.0,11482233.0,11483656.0,11588708.0,11673788.0,11779371.0,11850317.0,11911790.0,11928360.0,11930155.0,11937475.0,12037100.0,12112627.0,12161086.0,12199278.0,12210358.0,12211389.0,12212634.0,12252566.0,12300668.0,12387552.0,12452989.0,12468537.0,12470542.0,12518295.0,12561989.0,12635792.0,12693847.0,12744434.0,12764435.0,12766832.0,12816016.0,12896220.0,12950915.0,13022366.0,13024484.0,13034443.0,13035373.0,13083003.0,13123186.0,13156520.0,13192353.0,13250491.0,13273511.0,13275572.0,13291042.0,13300319.0,13307379.0,13316013.0,13324369.0,13325429.0,13325459.0,13424901.0,13537632.0,13542406.0,13545658.0,13548639.0,13548879.0,13548934.0,13625748.0,13693722.0,13696451.0,13698758.0,13700840.0,13701121.0,13701345.0,13739817.0,13774008.0,13775911.0,13777460.0,13778756.0,13778932.0,13779008.0,13803984.0,13825987.0,13839724.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223283.0,389137.0,550818.0,574957.0,581856.0,795947.0,1033510.0,1299100.0,1544785.0,1767979.0,1794146.0,1797985.0,2070458.0,2314117.0,2530163.0,2716335.0,2871106.0,2882122.0,2883293.0,3005321.0,3095949.0,3160765.0,3216005.0,3267128.0,3269876.0,3270299.0,3385829.0,3530541.0,3683799.0,3852354.0,3857534.0,3858879.0,3859342.0,4064243.0,4210929.0,4349362.0,4512178.0,4660277.0,4675116.0,4676472.0,4835404.0,4995738.0,5145923.0,5290828.0,5426647.0,5441034.0,5442796.0,5593869.0,5744018.0,5890481.0,6034852.0,6178653.0,6190590.0,6191282.0,6344936.0,6477463.0,6603110.0,6727660.0,6764594.0,6765802.0,6766469.0,6842346.0,6930990.0,7024650.0,7101346.0,7165240.0,7173450.0,7173895.0,7244318.0,7329686.0,7408215.0,7468898.0,7525155.0,7525562.0,7525733.0,7572818.0,7620524.0,7661797.0,7725159.0,7726522.0,7732806.0,7733395.0,7794536.0,7851470.0,7899862.0,7936156.0,7977061.0,7982842.0,7983817.0,8043481.0,8115070.0,8186880.0,8255466.0,8323931.0,8336995.0,8338225.0,8438319.0,8542796.0,8643149.0,8736773.0,8831115.0,8840514.0,8841109.0,8953579.0,9075597.0,9192996.0,9303022.0,9346452.0,9366325.0,9368472.0,9380804.0,9586285.0,9749981.0,9891165.0,10014081.0,10045812.0,10049190.0,10052325.0,10229828.0,10363758.0,10445606.0,10510442.0,10529438.0,10531540.0,10628182.0,10707052.0,10790559.0,10885269.0,10970231.0,10992058.0,10994596.0,11121025.0,11221917.0,11327321.0,11417831.0,11420431.0,11433881.0,11435082.0,11508132.0,11600590.0,11670667.0,11711614.0,11768313.0,11778464.0,11779323.0,11819669.0,11860671.0,11888243.0,11969415.0,12037522.0,12047655.0,12048094.0,12071753.0,12097120.0,12156827.0,12199680.0,12231193.0,12232105.0,12232126.0,12253293.0,12272745.0,12390432.0,12469614.0,12518639.0,12519645.0,12519844.0,12541777.0,12565486.0,12642316.0,12701415.0,12755893.0,12757701.0,12757897.0,12782668.0,12800503.0,12813226.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33776.0,73393.0,107757.0,117665.0,119455.0,146923.0,167001.0,183729.0,196886.0,200930.0,201323.0,201372.0,205548.0,209224.0,213178.0,216220.0,218596.0,218874.0,218886.0,218964.0,222726.0,235144.0,298712.0,348803.0,358876.0,360131.0,361357.0,393255.0,416157.0,430165.0,441639.0,445069.0,445470.0,455876.0,463466.0,468263.0,472129.0,476047.0,477621.0,477792.0,481880.0,484713.0,487432.0,492738.0,492835.0,493304.0,493406.0,496041.0,497776.0,499178.0,500771.0,502001.0,503427.0,503469.0,504413.0,505190.0,505722.0,506199.0,506474.0,506486.0,506487.0,507485.0,508338.0,508563.0,508745.0,508925.0,508940.0,508940.0,509160.0,509412.0,509516.0,509626.0,509717.0,509730.0,509730.0,510151.0,513226.0,514526.0,515994.0,517864.0,519033.0,519650.0,524578.0,529312.0,532759.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70070.0,160079.0,257037.0,260501.0,260589.0,418814.0,597096.0,707177.0,814680.0,906638.0,909933.0,910352.0,974577.0,1047929.0,1126327.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76619.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68587.0,69034.0,69480.0,69819.0,69866.0,69866.0,70190.0,70591.0,71010.0,71318.0,71518.0,71620.0,71620.0,71861.0,72098.0,72387.0,72743.0,73025.0,73078.0,73078.0,73224.0,73336.0,73433.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8521.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4736.0,4800.0,4800.0,5240.0,5641.0,5918.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171361.0,177021.0,182292.0,187524.0,187909.0,188095.0,193651.0,198750.0,203709.0,208422.0,208715.0,209171.0,209366.0,212547.0,216041.0,219871.0,222965.0,225550.0,226069.0,226213.0,229524.0,232657.0,235752.0,238381.0,240928.0,241914.0,242048.0,243511.0,244525.0,245395.0,246980.0,248098.0,248664.0,248689.0,249644.0,250557.0,251455.0,252164.0,253558.0,253591.0,253627.0,256467.0,259836.0,263027.0,266191.0,269066.0,270305.0,270560.0,274450.0,278330.0,281930.0,285357.0,289041.0,289316.0,289396.0,294017.0,299409.0,304126.0,308653.0,309174.0,310203.0,310407.0,317478.0,325287.0,331146.0,337661.0,343526.0,343775.0,343904.0,350363.0,352807.0,354738.0,357312.0,360360.0,360897.0,360917.0,363968.0,367415.0,371793.0,376142.0,379710.0,380973.0,380996.0,384863.0,388443.0,392704.0,395777.0,398496.0,398850.0,398901.0,399645.0,403506.0,407256.0,408891.0,409639.0,409757.0,409770.0,410214.0,411636.0,413614.0,416793.0,419266.0,419702.0,419736.0,421739.0,423633.0,426514.0,429062.0,431346.0,432029.0,432066.0,434597.0,438212.0,441204.0,444076.0,444859.0,445749.0,445785.0,448707.0,451696.0,454492.0,458345.0,461677.0,462280.0,462300.0,462510.0,462656.0,463221.0,463671.0,463809.0,463813.0,463813.0,467568.0,472436.0,472447.0,472462.0,472469.0,472469.0,472469.0,475700.0,478757.0,478773.0,478796.0,478813.0,478814.0,478815.0,480599.0,482381.0,482411.0,482419.0,482438.0,482438.0,482438.0,484077.0,485388.0,486283.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62603.0,67434.0,72069.0,72224.0,72229.0,75798.0,78345.0,80418.0,82178.0,83770.0,83773.0,83793.0,87377.0,91785.0,96179.0,101188.0,101220.0,101226.0,101232.0,107462.0,112663.0,117389.0,121397.0,127206.0,127413.0,127427.0,132900.0,138043.0,143436.0,148520.0,153197.0,153932.0,153987.0,160204.0,165707.0,170902.0,175990.0,180802.0,181355.0,181517.0,186654.0,190355.0,194457.0,199493.0,201373.0,201532.0,201663.0,204923.0,208500.0,212514.0,215550.0,218149.0,218713.0,218835.0,221682.0,224989.0,227932.0,230121.0,232482.0,232575.0,232684.0,234624.0,236372.0,237746.0,239649.0,239786.0,240089.0,240123.0,241958.0,243658.0,244743.0,245814.0,247229.0,247268.0,247299.0,249496.0,251862.0,254421.0,256830.0,258955.0,259314.0,259362.0,263142.0,266837.0,270291.0,273601.0,276963.0,277592.0,277694.0,281989.0,286571.0,291125.0,295216.0,297188.0,297707.0,297857.0,299156.0,307447.0,314477.0,319416.0,324034.0,324877.0,324904.0,325516.0,330970.0,334369.0,337132.0,339948.0,340517.0,340551.0,344798.0,348455.0,352484.0,356692.0,360070.0,361123.0,361156.0,366371.0,370537.0,374567.0,378580.0,379438.0,380313.0,380378.0,383550.0,387731.0,391361.0,393726.0,395509.0,395770.0,395782.0,397537.0,398852.0,400475.0,403176.0,405292.0,405640.0,405647.0,406335.0,407005.0,408347.0,408979.0,409443.0,409450.0,409450.0,409836.0,410171.0,415074.0,417912.0,419717.0,419742.0,419746.0,420609.0,421864.0,427249.0,430796.0,433386.0,433388.0,433390.0,434538.0,435399.0,436438.0
