Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24847.0,44202.0,53511.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57024.0,57024.0,57024.0,70206.0,240577.0,414600.0,583275.0,611125.0,619761.0,841223.0,1083677.0,1356185.0,1607411.0,1836638.0,1866145.0,1870611.0,2136443.0,2356416.0,2544458.0,2699702.0,2841814.0,2851453.0,2852617.0,2960722.0,3054934.0,3141025.0,3226951.0,3305062.0,3315102.0,3315457.0,3452591.0,3611535.0,3769366.0,3914082.0,4050293.0,4059936.0,4061002.0,4197576.0,4336620.0,4472429.0,4643876.0,4795102.0,4819400.0,4822147.0,4979968.0,5146566.0,5297779.0,5446524.0,5586292.0,5609476.0,5612331.0,5758927.0,5909159.0,6063406.0,6220844.0,6387293.0,6400193.0,6401161.0,6552297.0,6686119.0,6812963.0,6947430.0,6949277.0,6951146.0,6951800.0,7031530.0,7124510.0,7219221.0,7295778.0,7366332.0,7377402.0,7378493.0,7456387.0,7531246.0,7610389.0,7672492.0,7730692.0,7738583.0,7739457.0,7783215.0,7822103.0,7853124.0,7908886.0,7948437.0,7954137.0,7954485.0,7995746.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24970.0,44335.0,52671.0,55554.0,55764.0,55798.0,55798.0,55798.0,55808.0,55808.0,55808.0,55808.0,55808.0,55808.0,55829.0,55869.0,56042.0,56186.0,56304.0,56308.0,56308.0,56715.0,69126.0,223118.0,388862.0,550351.0,574474.0,581366.0,795265.0,1032633.0,1297995.0,1543357.0,1766327.0,1792449.0,1796283.0,2068571.0,2311916.0,2527821.0,2713810.0,2868518.0,2879529.0,2880704.0,3002655.0,3093135.0,3157866.0,3213011.0,3263891.0,3266633.0,3267054.0,3382450.0,3526995.0,3680057.0,3848393.0,3853554.0,3854892.0,3855350.0,4059913.0,4206354.0,4344578.0,4507166.0,4655058.0,4669870.0,4671229.0,4829834.0,4989674.0,5139377.0,5283849.0,5419301.0,5433715.0,5435472.0,5586179.0,5735698.0,5881521.0,6025328.0,6168446.0,6180295.0,6180974.0,6328743.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14384.0,15643.0,16891.0,18240.0,19490.0,19571.0,19571.0,20364.0,21145.0,21848.0,22529.0,22902.0,22913.0,22913.0,23553.0,24369.0,25294.0,26023.0,26767.0,26772.0,26772.0,27309.0,27903.0,28434.0,29127.0,29710.0,29725.0,29725.0,30473.0,31340.0,32132.0,32921.0,33496.0,33516.0,33516.0,34106.0,34809.0,35353.0,35922.0,36469.0,36469.0,36469.0,37077.0,37714.0,38259.0,38853.0,38853.0,38919.0,38921.0,39336.0,39724.0,40088.0,40395.0,40682.0,40684.0,40684.0,41067.0,41418.0,41771.0,42091.0,42389.0,42392.0,42392.0,42655.0,43002.0,43251.0,43586.0,43889.0,43905.0,43905.0,44178.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3396.0,4763.0,5833.0,5853.0,5853.0,7051.0,8208.0,9769.0,11081.0,12337.0,12370.0,12377.0,13956.0,15423.0,16846.0,18440.0,19744.0,19813.0,19813.0,20712.0,21618.0,22083.0,22498.0,22812.0,22812.0,22812.0,23359.0,23949.0,24765.0,25542.0,25548.0,25548.0,25548.0,26302.0,26945.0,27485.0,28012.0,28536.0,28542.0,28542.0,29372.0,30286.0,31115.0,31763.0,32359.0,32363.0,32363.0,32929.0,33627.0,34173.0,34702.0,35241.0,35254.0,35255.0,35834.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88981.0,93743.0,98490.0,102857.0,106603.0,106610.0,106610.0,110898.0,116088.0,120708.0,126431.0,131633.0,131753.0,131753.0,136820.0,142324.0,148331.0,153544.0,158819.0,159182.0,159226.0,165234.0,171352.0,177011.0,182283.0,187513.0,187898.0,188083.0,193633.0,198727.0,203673.0,208378.0,208670.0,209125.0,209320.0,212497.0,215987.0,219814.0,222905.0,225486.0,226002.0,226146.0,229449.0,232580.0,235672.0,238296.0,240841.0,241827.0,241961.0,243416.0,244427.0,245297.0,246870.0,247982.0,248543.0,248568.0,249491.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28863.0,35197.0,41263.0,41822.0,41822.0,49760.0,56568.0,62589.0,67418.0,72052.0,72204.0,72209.0,75778.0,78309.0,80372.0,82127.0,83714.0,83717.0,83737.0,87312.0,91718.0,96109.0,101109.0,101141.0,101147.0,101153.0,107379.0,112572.0,117288.0,121292.0,127093.0,127300.0,127314.0,132775.0,137912.0,143302.0,148376.0,153052.0,153788.0,153842.0,160043.0,165522.0,170703.0,175775.0,180573.0,181104.0,181266.0,186324.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2822.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2979.0,4421.0,7254.0,9648.0,9952.0,9986.0,12415.0,14964.0,17979.0,20736.0,23617.0,23733.0,23733.0,26381.0,28454.0,30613.0,32743.0,34802.0,34857.0,34857.0,36849.0,38760.0,40082.0,41219.0,43270.0,43465.0,43465.0,44948.0,46156.0,47170.0,47998.0,49007.0,49072.0,49074.0,50210.0,51229.0,52459.0,54101.0,55437.0,55537.0,55537.0,56811.0,58478.0,60016.0,62188.0,63291.0,63355.0,63355.0,64537.0,65880.0,67330.0,68831.0,70347.0,70443.0,70443.0,71801.0,73188.0,74400.0,75562.0,75648.0,75790.0,75791.0,76761.0,78153.0,79086.0,80029.0,80288.0,80289.0,80289.0,81213.0,82143.0,83159.0,83881.0,84562.0,84593.0,84593.0,85336.0,86090.0,86775.0,87402.0,87794.0,87833.0,87833.0,88412.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,2097.0,2741.0,2809.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2813.0,2828.0,2839.0,2851.0,2859.0,2860.0,2860.0,2862.0,2923.0,4176.0,7009.0,9237.0,9495.0,9521.0,11816.0,14326.0,17146.0,19889.0,22724.0,22818.0,22818.0,25757.0,28587.0,31271.0,33748.0,35884.0,35929.0,35929.0,38039.0,40140.0,41352.0,42158.0,42921.0,42927.0,42927.0,43810.0,44845.0,45673.0,46547.0,46553.0,46555.0,46556.0,48117.0,49403.0,50634.0,52149.0,53238.0,53290.0,53290.0,54064.0,55798.0,57501.0,59332.0,60241.0,60293.0,60295.0,60945.0,62935.0,64470.0,65191.0,66607.0,66623.0,66624.0,68181.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39561.0,41500.0,42581.0,42634.0,42636.0,44551.0,46982.0,49320.0,51604.0,53134.0,53211.0,53211.0,54592.0,55778.0,56745.0,57896.0,59915.0,60214.0,60214.0,62190.0,64142.0,65986.0,68040.0,70064.0,70168.0,70168.0,72511.0,74842.0,77077.0,79249.0,80993.0,80994.0,81006.0,83509.0,86089.0,88582.0,90863.0,93287.0,93287.0,93287.0,95473.0,97538.0,99279.0,100943.0,100943.0,100943.0,100943.0,102547.0,104064.0,105821.0,107007.0,108541.0,108669.0,108669.0,109088.0,110617.0,112014.0,113139.0,114168.0,114168.0,114168.0,115285.0,116654.0,117566.0,118615.0,119526.0,119526.0,119526.0,120295.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4450.0,9441.0,14626.0,19091.0,19514.0,19515.0,22978.0,25403.0,27623.0,29698.0,32133.0,32501.0,32501.0,34939.0,37663.0,40525.0,42355.0,43588.0,43612.0,43617.0,45289.0,46975.0,48343.0,50238.0,51564.0,51565.0,51565.0,52631.0,53890.0,55331.0,56829.0,56830.0,56830.0,56830.0,59444.0,61489.0,63263.0,65159.0,66729.0,66735.0,66735.0,68669.0,71274.0,73496.0,75618.0,77434.0,77440.0,77440.0,79511.0,82003.0,84290.0,86497.0,88256.0,88260.0,88260.0,89498.0
