Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44188.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240596.0,414674.0,583364.0,611212.0,619848.0,841380.0,1083906.0,1356497.0,1607802.0,1837096.0,1866605.0,1871071.0,2137012.0,2357079.0,2545187.0,2700481.0,2842660.0,2852299.0,2853463.0,2961593.0,3055830.0,3141950.0,3227892.0,3306081.0,3316057.0,3316412.0,3453538.0,3612458.0,3770294.0,3914984.0,4051269.0,4060912.0,4061977.0,4198581.0,4337574.0,4473327.0,4644750.0,4795955.0,4820250.0,4822996.0,4980700.0,5147016.0,5297818.0,5445791.0,5581609.0,5604753.0,5607599.0,5751513.0,5898434.0,6051243.0,6207713.0,6373620.0,6386484.0,6387453.0,6538204.0,6671460.0,6797992.0,6932302.0,6934149.0,6936024.0,6936680.0,7016179.0,7108702.0,7203042.0,7279288.0,7349626.0,7360719.0,7361806.0,7439432.0,7513853.0,7592581.0,7654142.0,7711932.0,7719751.0,7720610.0,7764290.0,7803235.0,7834219.0,7890377.0,7930090.0,7935797.0,7936146.0,7978994.0,8017783.0,8061048.0,8091710.0,8142236.0,8143284.0,8144070.0,8219859.0,8300676.0,8381956.0,8463268.0,8546695.0,8563969.0,8564926.0,8667947.0,8774995.0,8879464.0,8975966.0,9078676.0,9079776.0,9080041.0,9204288.0,9339549.0,9463621.0,9589772.0,9597480.0,9623746.0,9627422.0,9801092.0,9979014.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44331.0,52666.0,55548.0,55758.0,55792.0,55792.0,55792.0,55803.0,55803.0,55803.0,55803.0,55803.0,55803.0,55824.0,55864.0,56037.0,56181.0,56299.0,56303.0,56303.0,56710.0,69122.0,223178.0,388997.0,550548.0,574674.0,581568.0,795563.0,1033054.0,1298548.0,1544060.0,1767161.0,1793296.0,1797130.0,2069561.0,2313017.0,2529031.0,2715095.0,2869844.0,2880827.0,2882002.0,3003931.0,3094457.0,3159220.0,3214419.0,3265411.0,3268156.0,3268577.0,3384043.0,3528615.0,3681757.0,3850189.0,3855361.0,3856705.0,3857165.0,4061881.0,4208358.0,4346591.0,4509214.0,4657165.0,4671982.0,4673339.0,4831931.0,4991707.0,5141136.0,5285045.0,5417637.0,5431968.0,5433720.0,5582075.0,5728836.0,5873640.0,6016760.0,6159825.0,6171685.0,6172371.0,6325161.0,6456626.0,6581466.0,6705432.0,6742102.0,6743302.0,6743960.0,6819253.0,6907163.0,7000085.0,7076153.0,7139464.0,7147581.0,7148023.0,7217860.0,7302318.0,7380059.0,7439943.0,7495511.0,7495913.0,7496081.0,7542643.0,7589749.0,7630488.0,7693350.0,7694694.0,7700923.0,7701508.0,7761832.0,7815470.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40989.0,41339.0,41691.0,42011.0,42308.0,42311.0,42311.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44115.0,44375.0,44706.0,45070.0,45491.0,45592.0,45592.0,46069.0,46538.0,46922.0,47333.0,47652.0,47687.0,47687.0,48115.0,48575.0,49058.0,49428.0,49807.0,49888.0,49890.0,50356.0,50964.0,51627.0,52306.0,52306.0,52724.0,52724.0,54227.0,55685.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8205.0,9766.0,11078.0,12335.0,12368.0,12375.0,13954.0,15421.0,16845.0,18439.0,19743.0,19812.0,19812.0,20710.0,21617.0,22082.0,22497.0,22812.0,22812.0,22812.0,23359.0,23950.0,24764.0,25541.0,25547.0,25547.0,25547.0,26300.0,26943.0,27483.0,28009.0,28535.0,28541.0,28541.0,29370.0,30284.0,31109.0,31756.0,32338.0,32342.0,32342.0,32895.0,33586.0,34126.0,34656.0,35195.0,35208.0,35209.0,35839.0,36374.0,36925.0,37535.0,37724.0,37724.0,37724.0,38063.0,38477.0,38875.0,39193.0,39453.0,39465.0,39465.0,39781.0,40173.0,40521.0,40759.0,40952.0,40961.0,40964.0,41353.0,41774.0,42038.0,42419.0,42420.0,42467.0,42467.0,42855.0,43198.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73108.0,76676.0,79902.0,82249.0,84795.0,84795.0,84795.0,88969.0,93728.0,98468.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126409.0,131613.0,131732.0,131732.0,136782.0,142267.0,148252.0,153444.0,158448.0,158810.0,158854.0,164770.0,170836.0,176459.0,181708.0,186922.0,187307.0,187493.0,193007.0,198095.0,203035.0,207740.0,208033.0,208489.0,208684.0,211833.0,215306.0,219107.0,222169.0,224722.0,225235.0,225379.0,228661.0,231761.0,234828.0,237440.0,239965.0,240948.0,241082.0,242541.0,243533.0,244400.0,245982.0,247096.0,247640.0,247665.0,248619.0,249531.0,250428.0,251134.0,252522.0,252555.0,252591.0,255427.0,258792.0,261978.0,265137.0,268002.0,269231.0,269485.0,273356.0,277224.0,280817.0,284240.0,287921.0,288195.0,288275.0,292889.0,298276.0,302988.0,307514.0,308035.0,309064.0,309268.0,316329.0,324028.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83717.0,83720.0,83740.0,87314.0,91719.0,96104.0,101106.0,101138.0,101144.0,101150.0,107374.0,112566.0,117285.0,121288.0,127088.0,127294.0,127308.0,132751.0,137868.0,143237.0,148287.0,152763.0,153484.0,153538.0,159638.0,165057.0,170207.0,175258.0,180043.0,180594.0,180756.0,185840.0,189522.0,193606.0,198627.0,200499.0,200658.0,200788.0,204003.0,207545.0,211515.0,214493.0,217047.0,217600.0,217721.0,220524.0,223785.0,226698.0,228865.0,231200.0,231293.0,231402.0,233316.0,235039.0,236390.0,238280.0,238415.0,238709.0,238742.0,240558.0,242210.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40071.0,41208.0,43260.0,43455.0,43455.0,44937.0,46144.0,47157.0,47985.0,48993.0,49059.0,49061.0,50191.0,51211.0,52441.0,54083.0,55420.0,55520.0,55520.0,56787.0,58449.0,59983.0,62131.0,63227.0,63291.0,63291.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74258.0,75422.0,75508.0,75650.0,75651.0,76622.0,78010.0,78937.0,79873.0,80132.0,80133.0,80133.0,81057.0,81978.0,82987.0,83710.0,84408.0,84439.0,84439.0,85184.0,85939.0,86620.0,87600.0,88008.0,88068.0,88068.0,88674.0,89428.0,90013.0,90438.0,90881.0,90885.0,90885.0,91752.0,92565.0,93698.0,94636.0,95435.0,95516.0,95516.0,96676.0,97970.0,99126.0,100164.0,101263.0,101324.0,101330.0,102578.0,103993.0,105438.0,106960.0,107116.0,107909.0,107909.0,109829.0,112011.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17141.0,19885.0,22721.0,22815.0,22815.0,25756.0,28586.0,31272.0,33749.0,35885.0,35930.0,35930.0,38040.0,40141.0,41353.0,42158.0,42922.0,42928.0,42928.0,43810.0,44845.0,45672.0,46547.0,46554.0,46558.0,46559.0,48117.0,49405.0,50637.0,52164.0,53254.0,53306.0,53306.0,54082.0,55814.0,57510.0,59338.0,60252.0,60304.0,60306.0,60954.0,62894.0,64400.0,65119.0,66577.0,66594.0,66597.0,68186.0,69830.0,71135.0,72201.0,72587.0,72587.0,72588.0,73495.0,74595.0,75462.0,75646.0,75860.0,75868.0,75868.0,77028.0,78227.0,79074.0,79579.0,80174.0,80190.0,80193.0,81109.0,82071.0,82827.0,83568.0,83609.0,83761.0,83762.0,84557.0,85268.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15285.0,19999.0,20453.0,20453.0,24051.0,26466.0,28697.0,30762.0,33271.0,33748.0,33748.0,35856.0,37699.0,39591.0,41530.0,42611.0,42664.0,42666.0,44581.0,47012.0,49348.0,51632.0,53162.0,53239.0,53239.0,54619.0,55803.0,56770.0,57922.0,59939.0,60238.0,60238.0,62214.0,64164.0,66010.0,68064.0,70088.0,70192.0,70192.0,72523.0,74832.0,77039.0,79189.0,80908.0,80909.0,80921.0,83385.0,85933.0,88401.0,90662.0,93078.0,93078.0,93078.0,95260.0,97318.0,99051.0,100712.0,100712.0,100712.0,100712.0,102311.0,103827.0,105578.0,106768.0,108275.0,108406.0,108406.0,108822.0,110346.0,111739.0,112861.0,113882.0,113882.0,113882.0,114990.0,116362.0,117268.0,118318.0,119231.0,119231.0,119231.0,120022.0,121142.0,122233.0,123079.0,124164.0,124164.0,124164.0,125633.0,127158.0,128467.0,129792.0,131185.0,131374.0,131374.0,132905.0,134674.0,136257.0,137605.0,139220.0,139244.0,139244.0,140907.0,142847.0,144718.0,146521.0,146521.0,146568.0,146568.0,149351.0,152153.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3653.0,3732.0,3732.0,3732.0,3732.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3740.0,3767.0,3767.0,3767.0,3776.0,4448.0,9442.0,14632.0,19099.0,19522.0,19523.0,22987.0,25414.0,27634.0,29712.0,32148.0,32516.0,32516.0,34978.0,37706.0,40569.0,42400.0,43633.0,43657.0,43662.0,45335.0,47022.0,48390.0,50286.0,51612.0,51613.0,51613.0,52680.0,53938.0,55378.0,56875.0,56876.0,56876.0,56876.0,59511.0,61559.0,63335.0,65251.0,66821.0,66827.0,66827.0,68759.0,71347.0,73543.0,75723.0,77525.0,77531.0,77531.0,79574.0,82033.0,84295.0,86491.0,88252.0,88256.0,88256.0,89572.0,91786.0,94005.0,95801.0,96584.0,96584.0,96584.0,97794.0,99233.0,100960.0,102093.0,103066.0,103130.0,103130.0,103988.0,105630.0,106935.0,107976.0,108659.0,108659.0,108659.0,109751.0,111150.0,112197.0,113405.0,113405.0,113414.0,113414.0,114452.0,115596.0
