Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70224.0,240596.0,414626.0,583394.0,611245.0,619881.0,841388.0,1083875.0,1356310.0,1607698.0,1836962.0,1866484.0,1870951.0,2136809.0,2356871.0,2544914.0,2700180.0,2842308.0,2851950.0,2853112.0,2961216.0,3055417.0,3141518.0,3227454.0,3305733.0,3315776.0,3316131.0,3453282.0,3612242.0,3770088.0,3914825.0,4051042.0,4060686.0,4061751.0,4198347.0,4337383.0,4473197.0,4644631.0,4795864.0,4820152.0,4822900.0,4980750.0,5147385.0,5298666.0,5447481.0,5587245.0,5610425.0,5613277.0,5760024.0,5910304.0,6064589.0,6222054.0,6388640.0,6401584.0,6402553.0,6553808.0,6687787.0,6814871.0,6949665.0,6951522.0,6953403.0,6954061.0,7033993.0,7127152.0,7222051.0,7298803.0,7369687.0,7380878.0,7381975.0,7460082.0,7535103.0,7614451.0,7676748.0,7735147.0,7743048.0,7743924.0,7787821.0,7827031.0,7858182.0,7914546.0,7954388.0,7960136.0,7960487.0,8003552.0,8042574.0,8086070.0,8116937.0,8167874.0,8168966.0,8169765.0,8245772.0,8326830.0,8408326.0,8489914.0,8573998.0,8591382.0,8592342.0,8695645.0,8803052.0,8907896.0,9004906.0,9108145.0,9109195.0,9109460.0,9234046.0,9370146.0,9495889.0,9624375.0,9632677.0,9659506.0,9663203.0,9839058.0,10028915.0,10209578.0,10376510.0,10521954.0,10563550.0,10572669.0,10728623.0,10868049.0,10977143.0,11032748.0,11075131.0,11089882.0,11091861.0,11145739.0,11205966.0,11282574.0,11378911.0,11459522.0,11482241.0,11483664.0,11588716.0,11673796.0,11779380.0,11850326.0,11911798.0,11928368.0,11930163.0,11937482.0,12037106.0,12112630.0,12161088.0,12199279.0,12210359.0,12211390.0,12212635.0,12252567.0,12300667.0,12387552.0,12452987.0,12468535.0,12470540.0,12518294.0,12561987.0,12635791.0,12693847.0,12744436.0,12764438.0,12766835.0,12816026.0,12896238.0,12950937.0,13022393.0,13024514.0,13034474.0,13035404.0,13083040.0,13123225.0,13156564.0,13192402.0,13250559.0,13273580.0,13275642.0,13291111.0,13300387.0,13307448.0,13316086.0,13324443.0,13325503.0,13325533.0,13424975.0,13537706.0,13542481.0,13545734.0,13548715.0,13548955.0,13549010.0,13625824.0,13693798.0,13696527.0,13698835.0,13700917.0,13701198.0,13701422.0,13739895.0,13774117.0,13776020.0,13777574.0,13778870.0,13779046.0,13779122.0,13804102.0,13826135.0,13840382.0,13841842.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223284.0,389139.0,550820.0,574959.0,581858.0,795950.0,1033515.0,1299104.0,1544793.0,1767988.0,1794156.0,1797995.0,2070473.0,2314136.0,2530183.0,2716354.0,2871126.0,2882142.0,2883314.0,3005342.0,3095971.0,3160787.0,3216028.0,3267152.0,3269900.0,3270323.0,3385853.0,3530567.0,3683827.0,3852383.0,3857563.0,3858909.0,3859372.0,4064274.0,4210961.0,4349393.0,4512211.0,4660309.0,4675148.0,4676504.0,4835436.0,4995773.0,5145960.0,5290866.0,5426686.0,5441073.0,5442835.0,5593909.0,5744059.0,5890522.0,6034895.0,6178696.0,6190633.0,6191325.0,6344980.0,6477507.0,6603155.0,6727705.0,6764641.0,6765849.0,6766516.0,6842394.0,6931044.0,7024705.0,7101401.0,7165297.0,7173507.0,7173952.0,7244375.0,7329743.0,7408272.0,7468956.0,7525213.0,7525620.0,7525791.0,7572876.0,7620583.0,7661856.0,7725219.0,7726582.0,7732866.0,7733455.0,7794596.0,7851530.0,7899922.0,7936215.0,7977120.0,7982901.0,7983876.0,8043541.0,8115130.0,8186939.0,8255526.0,8323992.0,8337056.0,8338286.0,8438380.0,8542859.0,8643213.0,8736839.0,8831181.0,8840580.0,8841175.0,8953646.0,9075665.0,9193065.0,9303092.0,9346524.0,9366397.0,9368544.0,9380876.0,9586360.0,9750059.0,9891243.0,10014159.0,10045890.0,10049268.0,10052403.0,10229906.0,10363839.0,10445694.0,10510530.0,10529526.0,10531628.0,10628270.0,10707140.0,10790653.0,10885364.0,10970325.0,10992153.0,10994691.0,11121121.0,11222015.0,11327424.0,11417937.0,11420537.0,11433987.0,11435188.0,11508244.0,11600702.0,11670780.0,11711726.0,11768426.0,11778578.0,11779437.0,11819786.0,11860789.0,11888362.0,11969532.0,12037638.0,12047771.0,12048210.0,12071870.0,12097239.0,12156947.0,12199802.0,12231323.0,12232235.0,12232256.0,12253423.0,12272873.0,12390569.0,12469784.0,12518809.0,12519815.0,12520014.0,12541947.0,12565658.0,12642526.0,12701662.0,12756148.0,12757957.0,12758153.0,12782954.0,12800808.0,12814140.0,12891788.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33776.0,73393.0,107757.0,117665.0,119455.0,146923.0,167001.0,183729.0,196886.0,200930.0,201323.0,201372.0,205548.0,209224.0,213178.0,216220.0,218596.0,218874.0,218886.0,218964.0,222726.0,235144.0,298712.0,348804.0,358877.0,360132.0,361358.0,393256.0,416159.0,430167.0,441641.0,445072.0,445473.0,455879.0,463469.0,468266.0,472132.0,476050.0,477624.0,477795.0,481883.0,484716.0,487435.0,492741.0,492838.0,493307.0,493409.0,496044.0,497779.0,499181.0,500774.0,502004.0,503430.0,503472.0,504416.0,505193.0,505725.0,506202.0,506477.0,506489.0,506490.0,507488.0,508341.0,508565.0,508747.0,508927.0,508942.0,508942.0,509162.0,509414.0,509518.0,509628.0,509719.0,509732.0,509732.0,510153.0,513228.0,514528.0,515997.0,517868.0,519037.0,519654.0,524585.0,529319.0,532889.0,534249.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70072.0,160086.0,257073.0,260537.0,260625.0,418849.0,597146.0,707241.0,814691.0,906758.0,910053.0,910472.0,974719.0,1048383.0,1129423.0,1227933.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76621.0,76679.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55012.0,56178.0,57193.0,57454.0,57515.0,57516.0,59232.0,60289.0,60920.0,61398.0,61489.0,61520.0,61986.0,62481.0,63128.0,63779.0,64238.0,64320.0,64320.0,64700.0,64970.0,65263.0,65523.0,65523.0,65567.0,65600.0,65749.0,65980.0,66223.0,66505.0,66767.0,66834.0,66835.0,66947.0,67132.0,67333.0,67743.0,68031.0,68096.0,68096.0,68317.0,68588.0,69035.0,69482.0,69821.0,69868.0,69868.0,70192.0,70593.0,71012.0,71320.0,71520.0,71622.0,71622.0,71863.0,72100.0,72389.0,72745.0,73027.0,73080.0,73080.0,73227.0,73339.0,73439.0,73585.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8523.0,8565.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4737.0,4801.0,4801.0,5246.0,5647.0,5958.0,6264.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238382.0,240929.0,241915.0,242049.0,243512.0,244526.0,245396.0,246981.0,248099.0,248665.0,248690.0,249645.0,250558.0,251456.0,252165.0,253559.0,253592.0,253628.0,256468.0,259837.0,263028.0,266192.0,269067.0,270306.0,270561.0,274451.0,278331.0,281931.0,285358.0,289042.0,289317.0,289397.0,294018.0,299410.0,304127.0,308654.0,309175.0,310204.0,310408.0,317479.0,325288.0,331147.0,337662.0,343527.0,343776.0,343905.0,350364.0,352808.0,354739.0,357313.0,360361.0,360898.0,360918.0,363969.0,367416.0,371794.0,376143.0,379711.0,380974.0,380997.0,384864.0,388444.0,392705.0,395778.0,398497.0,398851.0,398902.0,399646.0,403507.0,407257.0,408892.0,409640.0,409758.0,409771.0,410215.0,411637.0,413615.0,416794.0,419267.0,419703.0,419737.0,421740.0,423634.0,426515.0,429064.0,431348.0,432031.0,432068.0,434599.0,438214.0,441206.0,444078.0,444861.0,445751.0,445787.0,448709.0,451699.0,454495.0,458349.0,461681.0,462284.0,462304.0,462514.0,462660.0,463225.0,463675.0,463813.0,463817.0,463817.0,467572.0,472440.0,472451.0,472466.0,472473.0,472473.0,472473.0,475704.0,478761.0,478777.0,478800.0,478817.0,478818.0,478819.0,480603.0,482385.0,482415.0,482423.0,482442.0,482442.0,482442.0,484081.0,485392.0,486300.0,486370.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62603.0,67434.0,72069.0,72224.0,72229.0,75798.0,78345.0,80418.0,82178.0,83770.0,83773.0,83793.0,87377.0,91785.0,96179.0,101188.0,101220.0,101226.0,101232.0,107462.0,112663.0,117389.0,121397.0,127206.0,127413.0,127427.0,132900.0,138043.0,143436.0,148520.0,153197.0,153932.0,153987.0,160204.0,165708.0,170903.0,175991.0,180803.0,181356.0,181518.0,186655.0,190357.0,194459.0,199495.0,201375.0,201534.0,201665.0,204925.0,208503.0,212517.0,215553.0,218152.0,218716.0,218838.0,221685.0,224992.0,227935.0,230124.0,232485.0,232578.0,232687.0,234627.0,236375.0,237749.0,239652.0,239789.0,240092.0,240126.0,241961.0,243661.0,244746.0,245817.0,247232.0,247271.0,247302.0,249499.0,251865.0,254424.0,256833.0,258958.0,259317.0,259365.0,263145.0,266840.0,270294.0,273604.0,276966.0,277595.0,277697.0,281992.0,286574.0,291128.0,295219.0,297191.0,297710.0,297860.0,299159.0,307450.0,314480.0,319419.0,324037.0,324880.0,324907.0,325519.0,330973.0,334372.0,337135.0,339951.0,340520.0,340554.0,344801.0,348458.0,352487.0,356695.0,360073.0,361126.0,361159.0,366374.0,370540.0,374570.0,378584.0,379442.0,380317.0,380382.0,383554.0,387735.0,391365.0,393730.0,395513.0,395774.0,395786.0,397541.0,398856.0,400479.0,403180.0,405296.0,405644.0,405651.0,406339.0,407009.0,408351.0,408983.0,409447.0,409454.0,409454.0,409840.0,410175.0,415078.0,417916.0,419721.0,419746.0,419750.0,420613.0,421868.0,427253.0,430800.0,433390.0,433392.0,433394.0,434542.0,435403.0,436467.0,442085.0
