Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24847.0,44202.0,53511.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57024.0,57024.0,57024.0,70206.0,240577.0,414601.0,583275.0,611125.0,619761.0,841224.0,1083678.0,1356189.0,1607417.0,1836644.0,1866151.0,1870617.0,2136450.0,2356424.0,2544465.0,2699710.0,2841824.0,2851463.0,2852627.0,2960732.0,3054943.0,3141033.0,3226958.0,3305070.0,3315109.0,3315464.0,3452598.0,3611542.0,3769374.0,3914091.0,4050300.0,4059944.0,4061010.0,4197584.0,4336628.0,4472439.0,4643886.0,4795112.0,4819411.0,4822158.0,4979978.0,5146577.0,5297827.0,5446613.0,5586391.0,5609577.0,5612432.0,5759073.0,5909308.0,6063555.0,6221004.0,6387534.0,6400437.0,6401406.0,6552573.0,6686474.0,6813321.0,6947794.0,6949641.0,6951510.0,6952164.0,7031896.0,7124876.0,7219587.0,7296147.0,7366716.0,7377786.0,7378877.0,7456774.0,7531635.0,7610827.0,7672931.0,7731131.0,7739022.0,7739896.0,7783664.0,7822653.0,7853674.0,7909445.0,7949087.0,7954823.0,7955171.0,7997962.0,8035014.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24970.0,44335.0,52671.0,55554.0,55764.0,55798.0,55798.0,55798.0,55808.0,55808.0,55808.0,55808.0,55808.0,55808.0,55829.0,55869.0,56042.0,56186.0,56304.0,56308.0,56308.0,56715.0,69126.0,223120.0,388870.0,550359.0,574482.0,581374.0,795273.0,1032641.0,1298009.0,1543375.0,1766345.0,1792467.0,1796301.0,2068591.0,2311939.0,2527846.0,2713838.0,2868545.0,2879556.0,2880731.0,3002678.0,3093156.0,3157890.0,3213036.0,3263918.0,3266660.0,3267081.0,3382477.0,3527024.0,3680091.0,3848432.0,3853593.0,3854931.0,3855389.0,4059956.0,4206402.0,4344628.0,4507218.0,4655114.0,4669926.0,4671285.0,4829913.0,4989759.0,5139570.0,5284094.0,5419556.0,5433970.0,5435727.0,5586448.0,5736110.0,5881958.0,6025800.0,6169174.0,6181066.0,6181750.0,6334719.0,6461792.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14384.0,15643.0,16891.0,18240.0,19490.0,19571.0,19571.0,20364.0,21145.0,21848.0,22529.0,22902.0,22913.0,22913.0,23553.0,24369.0,25294.0,26023.0,26767.0,26772.0,26772.0,27309.0,27903.0,28434.0,29127.0,29710.0,29725.0,29725.0,30473.0,31340.0,32132.0,32921.0,33496.0,33516.0,33516.0,34106.0,34809.0,35353.0,35922.0,36469.0,36469.0,36469.0,37077.0,37714.0,38259.0,38853.0,38853.0,38919.0,38921.0,39336.0,39724.0,40088.0,40395.0,40682.0,40684.0,40684.0,41067.0,41418.0,41771.0,42091.0,42389.0,42392.0,42392.0,42655.0,43002.0,43251.0,43586.0,43889.0,43905.0,43905.0,44200.0,44435.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3396.0,4763.0,5833.0,5853.0,5853.0,7051.0,8208.0,9769.0,11081.0,12337.0,12370.0,12377.0,13956.0,15423.0,16846.0,18440.0,19744.0,19813.0,19813.0,20712.0,21618.0,22083.0,22498.0,22812.0,22812.0,22812.0,23359.0,23949.0,24765.0,25542.0,25548.0,25548.0,25548.0,26302.0,26945.0,27485.0,28012.0,28536.0,28542.0,28542.0,29372.0,30286.0,31115.0,31763.0,32359.0,32363.0,32363.0,32929.0,33627.0,34173.0,34702.0,35241.0,35254.0,35255.0,35892.0,36398.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88981.0,93743.0,98490.0,102857.0,106603.0,106610.0,106610.0,110898.0,116088.0,120708.0,126431.0,131633.0,131753.0,131753.0,136820.0,142324.0,148331.0,153544.0,158819.0,159182.0,159226.0,165234.0,171352.0,177011.0,182283.0,187513.0,187898.0,188084.0,193635.0,198733.0,203679.0,208384.0,208676.0,209131.0,209326.0,212503.0,215993.0,219820.0,222911.0,225492.0,226008.0,226152.0,229455.0,232586.0,235678.0,238302.0,240847.0,241833.0,241967.0,243422.0,244433.0,245303.0,246876.0,247990.0,248555.0,248580.0,249530.0,250420.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28863.0,35197.0,41263.0,41822.0,41822.0,49760.0,56568.0,62589.0,67418.0,72052.0,72204.0,72209.0,75778.0,78309.0,80372.0,82127.0,83714.0,83717.0,83737.0,87312.0,91718.0,96109.0,101109.0,101141.0,101147.0,101153.0,107379.0,112572.0,117288.0,121292.0,127093.0,127300.0,127314.0,132775.0,137912.0,143302.0,148376.0,153053.0,153789.0,153843.0,160044.0,165523.0,170704.0,175776.0,180576.0,181129.0,181291.0,186410.0,189963.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2822.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2979.0,4421.0,7254.0,9648.0,9952.0,9986.0,12415.0,14964.0,17979.0,20736.0,23617.0,23733.0,23733.0,26381.0,28454.0,30613.0,32743.0,34802.0,34857.0,34857.0,36849.0,38760.0,40082.0,41219.0,43270.0,43465.0,43465.0,44948.0,46156.0,47170.0,47998.0,49007.0,49072.0,49074.0,50210.0,51229.0,52459.0,54101.0,55437.0,55537.0,55537.0,56811.0,58478.0,60016.0,62188.0,63291.0,63355.0,63355.0,64537.0,65880.0,67331.0,68834.0,70350.0,70446.0,70446.0,71805.0,73193.0,74405.0,75567.0,75653.0,75795.0,75796.0,76766.0,78158.0,79091.0,80034.0,80293.0,80294.0,80294.0,81218.0,82148.0,83164.0,83886.0,84567.0,84598.0,84598.0,85341.0,86095.0,86780.0,87407.0,87799.0,87864.0,87864.0,88472.0,89004.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,2097.0,2741.0,2809.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2813.0,2828.0,2839.0,2851.0,2859.0,2860.0,2860.0,2862.0,2923.0,4176.0,7009.0,9237.0,9495.0,9521.0,11816.0,14326.0,17146.0,19889.0,22724.0,22818.0,22818.0,25757.0,28587.0,31271.0,33748.0,35884.0,35929.0,35929.0,38039.0,40140.0,41352.0,42158.0,42921.0,42927.0,42927.0,43810.0,44845.0,45673.0,46547.0,46553.0,46555.0,46556.0,48117.0,49404.0,50635.0,52150.0,53239.0,53291.0,53291.0,54065.0,55799.0,57502.0,59333.0,60242.0,60294.0,60296.0,60946.0,62936.0,64471.0,65192.0,66608.0,66626.0,66629.0,68218.0,69827.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39561.0,41500.0,42581.0,42634.0,42636.0,44551.0,46982.0,49320.0,51604.0,53134.0,53211.0,53211.0,54592.0,55778.0,56745.0,57896.0,59915.0,60214.0,60214.0,62190.0,64142.0,65986.0,68040.0,70064.0,70168.0,70168.0,72511.0,74842.0,77077.0,79249.0,80993.0,80994.0,81006.0,83509.0,86089.0,88582.0,90863.0,93287.0,93287.0,93287.0,95473.0,97538.0,99279.0,100943.0,100943.0,100943.0,100943.0,102547.0,104064.0,105821.0,107007.0,108541.0,108669.0,108669.0,109088.0,110617.0,112014.0,113139.0,114168.0,114168.0,114168.0,115285.0,116654.0,117566.0,118616.0,119527.0,119527.0,119527.0,120322.0,121427.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4450.0,9441.0,14626.0,19091.0,19514.0,19515.0,22978.0,25403.0,27623.0,29698.0,32133.0,32501.0,32501.0,34939.0,37663.0,40525.0,42355.0,43588.0,43612.0,43617.0,45289.0,46975.0,48343.0,50238.0,51564.0,51565.0,51565.0,52631.0,53890.0,55331.0,56829.0,56830.0,56830.0,56830.0,59444.0,61489.0,63263.0,65159.0,66729.0,66735.0,66735.0,68669.0,71274.0,73496.0,75618.0,77434.0,77440.0,77440.0,79511.0,82003.0,84290.0,86497.0,88257.0,88261.0,88261.0,89584.0,91742.0
