Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44191.0,53496.0,56556.0,56968.0,56968.0,56968.0,56985.0,57006.0,57007.0,57007.0,57007.0,57008.0,57008.0,57008.0,70190.0,240548.0,414568.0,583218.0,611066.0,619700.0,841162.0,1083624.0,1356134.0,1607391.0,1836615.0,1866124.0,1870590.0,2136441.0,2356428.0,2544461.0,2699697.0,2841812.0,2851451.0,2852615.0,2960722.0,3054931.0,3141021.0,3226942.0,3305141.0,3315118.0,3315473.0,3452547.0,3611411.0,3769193.0,3913869.0,4050072.0,4059716.0,4060781.0,4197307.0,4336259.0,4471990.0,4643378.0,4794544.0,4818839.0,4821585.0,4979252.0,5145530.0,5296300.0,5444238.0,5580014.0,5603159.0,5606005.0,5749897.0,5896796.0,6049575.0,6205980.0,6371842.0,6384707.0,6385676.0,6536370.0,6669566.0,6796069.0,6930345.0,6932192.0,6934067.0,6934723.0,7014187.0,7106666.0,7200979.0,7277208.0,7347542.0,7358635.0,7359722.0,7437316.0,7511717.0,7590424.0,7651971.0,7709747.0,7717566.0,7718425.0,7762101.0,7801044.0,7832024.0,7888166.0,7927884.0,7933592.0,7933943.0,7976798.0,8015596.0,8058876.0,8089559.0,8140094.0,8141142.0,8141936.0,8217657.0,8298443.0,8379688.0,8460969.0,8544362.0,8561638.0,8562595.0,8665574.0,8772576.0,8877011.0,8973498.0,9076165.0,9077265.0,9077530.0,9201745.0,9337071.0,9461440.0,9587867.0,9595576.0,9621824.0,9625500.0,9800313.0,9988057.0,10166461.0,10323751.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24962.0,44335.0,52673.0,55557.0,55767.0,55801.0,55801.0,55801.0,55812.0,55812.0,55812.0,55812.0,55812.0,55812.0,55833.0,55873.0,56046.0,56190.0,56308.0,56312.0,56312.0,56720.0,69133.0,223143.0,388911.0,550427.0,574554.0,581447.0,795383.0,1032813.0,1298249.0,1543782.0,1766809.0,1792945.0,1796779.0,2069139.0,2312573.0,2528513.0,2714528.0,2869220.0,2880202.0,2881378.0,3003285.0,3093788.0,3158529.0,3213709.0,3264704.0,3267449.0,3267870.0,3383293.0,3527822.0,3680918.0,3849297.0,3854472.0,3855817.0,3856278.0,4060913.0,4207356.0,4345571.0,4508173.0,4656091.0,4670910.0,4672267.0,4830831.0,4990588.0,5139993.0,5283869.0,5416430.0,5430761.0,5432514.0,5580853.0,5727601.0,5872369.0,6015448.0,6158479.0,6170338.0,6171024.0,6323764.0,6455191.0,6580028.0,6703960.0,6740634.0,6741834.0,6742493.0,6817764.0,6905646.0,6998546.0,7074596.0,7137908.0,7146026.0,7146469.0,7216299.0,7300752.0,7378489.0,7438372.0,7493929.0,7494331.0,7494499.0,7541063.0,7588220.0,7629093.0,7691993.0,7693337.0,7699566.0,7700152.0,7760754.0,7816898.0,7864672.0,7898733.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40989.0,41339.0,41691.0,42011.0,42308.0,42311.0,42311.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44115.0,44375.0,44706.0,45070.0,45491.0,45592.0,45592.0,46069.0,46538.0,46922.0,47333.0,47652.0,47687.0,47687.0,48115.0,48575.0,49058.0,49428.0,49807.0,49888.0,49890.0,50356.0,50964.0,51627.0,52306.0,52306.0,52724.0,52724.0,54228.0,55752.0,57006.0,57895.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8205.0,9766.0,11078.0,12335.0,12368.0,12375.0,13954.0,15421.0,16845.0,18439.0,19743.0,19812.0,19812.0,20710.0,21617.0,22082.0,22497.0,22812.0,22812.0,22812.0,23359.0,23950.0,24764.0,25541.0,25547.0,25547.0,25547.0,26300.0,26943.0,27483.0,28009.0,28535.0,28541.0,28541.0,29370.0,30284.0,31109.0,31756.0,32338.0,32342.0,32342.0,32895.0,33586.0,34126.0,34656.0,35195.0,35208.0,35209.0,35839.0,36374.0,36925.0,37535.0,37724.0,37724.0,37724.0,38063.0,38477.0,38875.0,39193.0,39453.0,39465.0,39465.0,39781.0,40173.0,40521.0,40759.0,40952.0,40961.0,40964.0,41353.0,41774.0,42038.0,42419.0,42420.0,42467.0,42467.0,42856.0,43206.0,43654.0,43958.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73110.0,76678.0,79904.0,82251.0,84797.0,84797.0,84797.0,88971.0,93730.0,98470.0,102836.0,106582.0,106589.0,106589.0,110877.0,116068.0,120688.0,126411.0,131615.0,131734.0,131734.0,136784.0,142269.0,148254.0,153446.0,158450.0,158812.0,158856.0,164772.0,170838.0,176461.0,181710.0,186924.0,187309.0,187495.0,193009.0,198097.0,203038.0,207743.0,208036.0,208492.0,208687.0,211836.0,215309.0,219110.0,222172.0,224725.0,225238.0,225382.0,228664.0,231763.0,234831.0,237443.0,239968.0,240951.0,241085.0,242544.0,243536.0,244403.0,245985.0,247099.0,247643.0,247668.0,248622.0,249535.0,250433.0,251140.0,252528.0,252561.0,252597.0,255433.0,258798.0,261984.0,265143.0,268009.0,269240.0,269494.0,273366.0,277234.0,280828.0,284251.0,287932.0,288206.0,288286.0,292900.0,298288.0,303000.0,307526.0,308047.0,309076.0,309280.0,316342.0,324149.0,329993.0,336387.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78312.0,80376.0,82131.0,83719.0,83722.0,83742.0,87317.0,91722.0,96107.0,101109.0,101141.0,101147.0,101153.0,107377.0,112569.0,117288.0,121291.0,127091.0,127297.0,127311.0,132754.0,137871.0,143240.0,148290.0,152766.0,153487.0,153541.0,159642.0,165061.0,170211.0,175262.0,180048.0,180599.0,180761.0,185845.0,189527.0,193612.0,198633.0,200506.0,200665.0,200795.0,204010.0,207552.0,211522.0,214503.0,217057.0,217610.0,217731.0,220534.0,223796.0,226709.0,228879.0,231215.0,231308.0,231417.0,233331.0,235054.0,236405.0,238295.0,238430.0,238724.0,238757.0,240573.0,242237.0,243304.0,244358.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17970.0,20727.0,23608.0,23724.0,23724.0,26372.0,28445.0,30603.0,32733.0,34792.0,34847.0,34847.0,36839.0,38750.0,40074.0,41211.0,43263.0,43458.0,43458.0,44940.0,46147.0,47160.0,47988.0,48996.0,49062.0,49064.0,50194.0,51214.0,52444.0,54086.0,55423.0,55523.0,55523.0,56790.0,58452.0,59986.0,62135.0,63230.0,63294.0,63294.0,64457.0,65760.0,67189.0,68682.0,70217.0,70317.0,70317.0,71673.0,73052.0,74262.0,75426.0,75512.0,75654.0,75655.0,76626.0,78015.0,78942.0,79878.0,80137.0,80138.0,80138.0,81062.0,81983.0,82992.0,83714.0,84412.0,84443.0,84443.0,85188.0,85943.0,86625.0,87605.0,88013.0,88073.0,88073.0,88681.0,89435.0,90021.0,90446.0,90889.0,90893.0,90893.0,91760.0,92573.0,93706.0,94644.0,95443.0,95524.0,95524.0,96684.0,97978.0,99134.0,100172.0,101271.0,101332.0,101338.0,102586.0,104001.0,105446.0,106968.0,107124.0,107917.0,107917.0,109909.0,112164.0,114215.0,116337.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14323.0,17146.0,19890.0,22727.0,22821.0,22821.0,25762.0,28593.0,31279.0,33756.0,35893.0,35938.0,35938.0,38048.0,40149.0,41361.0,42166.0,42930.0,42936.0,42936.0,43818.0,44853.0,45680.0,46555.0,46562.0,46566.0,46567.0,48125.0,49413.0,50645.0,52173.0,53263.0,53316.0,53316.0,54092.0,55824.0,57521.0,59349.0,60263.0,60315.0,60317.0,60965.0,62905.0,64411.0,65131.0,66590.0,66607.0,66610.0,68199.0,69844.0,71149.0,72215.0,72601.0,72601.0,72602.0,73509.0,74609.0,75476.0,75661.0,75875.0,75883.0,75883.0,77044.0,78251.0,79105.0,79610.0,80206.0,80222.0,80225.0,81141.0,82103.0,82865.0,83606.0,83647.0,83799.0,83800.0,84615.0,85395.0,86036.0,86620.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20003.0,20457.0,20457.0,24057.0,26472.0,28703.0,30768.0,33277.0,33754.0,33754.0,35862.0,37711.0,39603.0,41542.0,42624.0,42677.0,42679.0,44594.0,47026.0,49362.0,51647.0,53177.0,53254.0,53254.0,54634.0,55818.0,56786.0,57938.0,59956.0,60255.0,60255.0,62229.0,64179.0,66025.0,68079.0,70103.0,70207.0,70207.0,72540.0,74849.0,77056.0,79207.0,80926.0,80927.0,80939.0,83403.0,85951.0,88430.0,90692.0,93108.0,93108.0,93108.0,95291.0,97349.0,99082.0,100744.0,100744.0,100744.0,100744.0,102342.0,103859.0,105612.0,106811.0,108319.0,108450.0,108450.0,108866.0,110390.0,111783.0,112905.0,113926.0,113926.0,113926.0,115035.0,116407.0,117313.0,118363.0,119276.0,119276.0,119276.0,120067.0,121187.0,122279.0,123125.0,124229.0,124229.0,124229.0,125698.0,127222.0,128531.0,129856.0,131249.0,131438.0,131438.0,132969.0,134738.0,136321.0,137669.0,139284.0,139308.0,139308.0,140971.0,142954.0,144917.0,146733.0,146733.0,146780.0,146780.0,149653.0,152973.0,156136.0,158654.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1742.0,2659.0,3656.0,3735.0,3735.0,3735.0,3735.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3743.0,3770.0,3770.0,3770.0,3779.0,4451.0,9446.0,14638.0,19110.0,19533.0,19534.0,23003.0,25432.0,27652.0,29733.0,32171.0,32539.0,32539.0,35003.0,37776.0,40640.0,42472.0,43705.0,43729.0,43734.0,45408.0,47095.0,48463.0,50359.0,51685.0,51686.0,51686.0,52755.0,54013.0,55454.0,56951.0,56952.0,56952.0,56952.0,59589.0,61638.0,63414.0,65332.0,66902.0,66908.0,66908.0,68842.0,71431.0,73630.0,75810.0,77613.0,77619.0,77619.0,79664.0,82124.0,84386.0,86583.0,88345.0,88349.0,88349.0,89665.0,91879.0,94105.0,95903.0,96688.0,96688.0,96688.0,97898.0,99338.0,101067.0,102200.0,103173.0,103237.0,103237.0,104095.0,105737.0,107042.0,108085.0,108769.0,108769.0,108769.0,109861.0,111284.0,112400.0,113622.0,113622.0,113631.0,113631.0,114713.0,116082.0,117151.0,117849.0
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,6201.0,8201.0,8709.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,8771.0,12774.0,17626.0,22451.0,22459.0,22459.0,30307.0,39190.0,49270.0,58824.0,67662.0,68143.0,68143.0,79335.0,88177.0,96227.0,103145.0,109626.0,109670.0,109675.0,115886.0,121144.0,125800.0,130616.0,134579.0,134715.0,134715.0,142172.0,150185.0,157757.0,164121.0,169680.0,169732.0,169732.0,175730.0,181979.0,187678.0,194190.0,199872.0,200078.0,200078.0,206461.0,213128.0,218898.0,224516.0,229784.0,229886.0,229886.0,235724.0,241515.0,247613.0,253924.0,260640.0,261073.0,261073.0,266912.0,272435.0,277473.0,283062.0,283071.0,283071.0,283073.0,286986.0,291580.0,295922.0,299779.0,303302.0,303391.0,303391.0,307165.0,310609.0,313953.0,316825.0,319752.0,319833.0,319833.0,322437.0,324555.0,326492.0,329189.0,331377.0,331472.0,331473.0,333801.0,336081.0,338409.0,340586.0,342521.0,342536.0,342536.0,346125.0,349840.0,353596.0,357126.0,360670.0,360833.0,360833.0,365367.0,370151.0,374651.0,378956.0,383123.0,383149.0,383149.0,388002.0,393808.0,398928.0,404438.0,404451.0,404666.0,404671.0,411683.0,420602.0,428321.0,435165.0
