Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24840.0,44195.0,53500.0,56558.0,56970.0,56970.0,56970.0,56987.0,57008.0,57009.0,57009.0,57009.0,57010.0,57010.0,57010.0,70191.0,240554.0,414580.0,583273.0,611122.0,619756.0,841229.0,1083699.0,1356121.0,1607474.0,1836711.0,1866230.0,1870697.0,2136560.0,2356586.0,2544626.0,2699884.0,2842003.0,2851644.0,2852806.0,2960916.0,3055124.0,3141224.0,3227151.0,3305404.0,3315383.0,3315738.0,3452831.0,3611698.0,3769488.0,3914167.0,4050370.0,4060017.0,4061081.0,4197625.0,4336577.0,4472316.0,4643699.0,4794871.0,4819162.0,4821910.0,4979601.0,5145890.0,5296675.0,5444617.0,5580401.0,5603545.0,5606388.0,5750290.0,5897200.0,6049976.0,6206384.0,6372261.0,6385155.0,6386124.0,6536850.0,6670055.0,6796568.0,6930864.0,6932712.0,6934588.0,6935244.0,7014714.0,7107219.0,7201564.0,7277801.0,7348155.0,7359250.0,7360337.0,7437941.0,7512364.0,7591083.0,7652642.0,7710434.0,7718254.0,7719114.0,7762807.0,7801791.0,7832795.0,7888996.0,7928729.0,7934437.0,7934788.0,7977670.0,8016500.0,8059865.0,8090580.0,8141196.0,8142260.0,8143057.0,8218903.0,8299785.0,8381145.0,8462559.0,8546364.0,8563664.0,8564624.0,8667755.0,8774927.0,8879508.0,8976348.0,9079272.0,9080314.0,9080579.0,9205001.0,9340578.0,9465302.0,9592019.0,9599738.0,9626230.0,9629927.0,9805422.0,9994709.0,10174868.0,10341132.0,10486114.0,10527586.0,10536688.0,10692012.0,10830599.0,10939036.0,10994162.0,11036164.0,11050822.0,11052792.0,11106275.0,11165939.0,11241844.0,11337706.0,11417842.0,11440501.0,11441921.0,11546594.0,11631278.0,11736462.0,11807065.0,11868166.0,11884686.0,11886478.0,11893747.0,11993061.0,12068372.0,12116349.0,12153991.0,12164717.0,12165685.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24966.0,44344.0,52685.0,55569.0,55779.0,55812.0,55812.0,55812.0,55823.0,55823.0,55824.0,55824.0,55824.0,55824.0,55846.0,55886.0,56059.0,56203.0,56321.0,56325.0,56325.0,56734.0,69148.0,223201.0,389003.0,550574.0,574705.0,581599.0,795581.0,1033071.0,1298574.0,1544167.0,1767243.0,1793401.0,1797237.0,2069638.0,2313202.0,2529212.0,2715308.0,2870034.0,2881021.0,2882197.0,3004137.0,3094686.0,3159462.0,3214658.0,3265742.0,3268490.0,3268913.0,3384389.0,3528967.0,3682116.0,3850573.0,3855752.0,3857097.0,3857558.0,4062298.0,4208818.0,4347094.0,4509758.0,4657733.0,4672561.0,4673916.0,4832576.0,4992468.0,5141995.0,5285943.0,5418574.0,5432911.0,5434667.0,5583107.0,5729938.0,5874798.0,6017998.0,6161109.0,6172994.0,6173682.0,6326511.0,6458029.0,6582960.0,6706969.0,6743716.0,6744918.0,6745579.0,6820960.0,6908948.0,7001955.0,7078058.0,7141435.0,7149576.0,7150019.0,7219918.0,7304483.0,7382307.0,7442274.0,7497943.0,7498346.0,7498516.0,7545192.0,7592493.0,7633463.0,7696543.0,7697892.0,7704147.0,7704734.0,7765572.0,7822067.0,7870206.0,7906246.0,7946856.0,7952606.0,7953574.0,8012962.0,8084211.0,8155830.0,8224216.0,8292431.0,8305443.0,8306659.0,8406423.0,8510449.0,8610390.0,8703711.0,8797564.0,8806925.0,8807516.0,8919601.0,9040950.0,9157106.0,9265210.0,9307759.0,9327299.0,9329404.0,9340934.0,9537697.0,9693942.0,9827535.0,9943554.0,9973689.0,9976881.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10439.0,33737.0,73323.0,107631.0,117536.0,119326.0,146772.0,166834.0,183510.0,196625.0,200673.0,201065.0,201114.0,205305.0,208972.0,212885.0,215911.0,218246.0,218523.0,218535.0,218636.0,222363.0,234752.0,297943.0,347519.0,357551.0,358790.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52749.0,52749.0,54268.0,55796.0,57059.0,58058.0,59266.0,59595.0,59595.0,60826.0,61811.0,62544.0,62979.0,63244.0,63282.0,63316.0,63656.0,64113.0,64652.0,65274.0,65621.0,65673.0,65717.0,65965.0,66147.0,66318.0,66498.0,66632.0,66648.0,66661.0,66661.0,66853.0,67095.0,67363.0,67641.0,67697.0,67710.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44510.0,44562.0,44562.0,45065.0,45559.0,45932.0,46367.0,46660.0,46692.0,46705.0,47120.0,47695.0,48143.0,48543.0,48911.0,48983.0,48993.0,49431.0,49946.0,50543.0,51100.0,51381.0,51591.0,51645.0,51648.0,53479.0,54845.0,55993.0,57001.0,57262.0,57323.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4229.0,4497.0,4672.0,4716.0,4722.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198109.0,203052.0,207758.0,208051.0,208507.0,208702.0,211851.0,215324.0,219125.0,222187.0,224740.0,225253.0,225397.0,228680.0,231781.0,234849.0,237461.0,239986.0,240970.0,241104.0,242565.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292947.0,298337.0,303051.0,307577.0,308098.0,309127.0,309331.0,316398.0,324206.0,330056.0,336566.0,342419.0,342668.0,342797.0,349250.0,351683.0,353602.0,356170.0,359200.0,359737.0,359757.0,362792.0,366217.0,370567.0,374903.0,378452.0,379713.0,379736.0,383590.0,387163.0,391417.0,394487.0,397199.0,397553.0,397604.0,398342.0,402196.0,405944.0,407574.0,408321.0,408440.0,408453.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148312.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189563.0,193650.0,198674.0,200548.0,200707.0,200838.0,204055.0,207601.0,211573.0,214555.0,217110.0,217666.0,217787.0,220592.0,223856.0,226770.0,228939.0,231278.0,231371.0,231480.0,233395.0,235119.0,236471.0,238361.0,238496.0,238791.0,238824.0,240640.0,242305.0,243373.0,244435.0,245845.0,245884.0,245915.0,248102.0,250453.0,253001.0,255403.0,257511.0,257867.0,257915.0,261659.0,265320.0,268759.0,272066.0,275412.0,276041.0,276143.0,280432.0,285008.0,289549.0,293633.0,295601.0,296120.0,296270.0,297433.0,305260.0,311890.0,316576.0,320795.0,321551.0,321570.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11692.0,14553.0,15195.0,15199.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14958.0,17978.0,20735.0,23618.0,23734.0,23734.0,26383.0,28464.0,30627.0,32758.0,34822.0,34877.0,34877.0,36869.0,38780.0,40104.0,41246.0,43298.0,43494.0,43494.0,44976.0,46184.0,47197.0,48026.0,49031.0,49097.0,49099.0,50229.0,51249.0,52479.0,54121.0,55458.0,55558.0,55558.0,56825.0,58488.0,60022.0,62176.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70384.0,70384.0,71741.0,73120.0,74330.0,75494.0,75580.0,75722.0,75723.0,76693.0,78084.0,79011.0,79947.0,80206.0,80207.0,80207.0,81132.0,82052.0,83055.0,83777.0,84475.0,84506.0,84506.0,85251.0,86007.0,86691.0,87672.0,88080.0,88140.0,88140.0,88749.0,89503.0,90129.0,90555.0,90999.0,91004.0,91004.0,91889.0,92702.0,93844.0,94784.0,95628.0,95712.0,95712.0,96907.0,98201.0,99395.0,100626.0,101727.0,101787.0,101793.0,103044.0,104461.0,105906.0,107432.0,107589.0,108384.0,108384.0,110410.0,112836.0,114894.0,117153.0,119045.0,119459.0,119460.0,121523.0,123443.0,123933.0,123940.0,123958.0,123961.0,123961.0,124143.0,125555.0,127262.0,129265.0,130972.0,131541.0,131546.0,133264.0,134903.0,136474.0,137683.0,138777.0,139083.0,139083.0,139160.0,140505.0,141876.0,143373.0,144637.0,145018.0,145018.0
