Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44185.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70186.0,240546.0,414561.0,583229.0,611078.0,619714.0,841163.0,1083610.0,1356110.0,1607327.0,1836544.0,1866050.0,1870516.0,2136339.0,2356305.0,2544338.0,2699575.0,2841689.0,2851328.0,2852492.0,2960596.0,3054803.0,3140890.0,3226808.0,3304898.0,3314872.0,3315227.0,3452303.0,3611162.0,3768939.0,3913610.0,4049799.0,4059442.0,4060508.0,4197019.0,4335972.0,4471695.0,4643083.0,4794238.0,4818535.0,4821281.0,4978906.0,5145172.0,5295908.0,5443831.0,5579517.0,5602659.0,5605504.0,5749300.0,5896178.0,6048930.0,6205310.0,6371129.0,6383987.0,6384956.0,6535630.0,6668790.0,6795183.0,6929204.0,6931049.0,6932916.0,6933570.0,7012852.0,7105174.0,7199338.0,7275405.0,7345455.0,7356428.0,7357508.0,7434914.0,7509190.0,7587790.0,7649164.0,7706757.0,7714566.0,7715424.0,7758986.0,7797787.0,7828664.0,7884282.0,7923822.0,7929519.0,7929867.0,7972532.0,8010901.0,8052578.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44322.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69109.0,223096.0,388841.0,550327.0,574451.0,581344.0,795234.0,1032609.0,1297970.0,1543330.0,1766316.0,1792438.0,1796272.0,2068477.0,2311820.0,2527720.0,2713704.0,2868371.0,2879354.0,2880529.0,3002422.0,3092878.0,3157598.0,3212738.0,3263624.0,3266366.0,3266787.0,3382174.0,3526652.0,3679686.0,3848002.0,3853168.0,3854506.0,3854964.0,4059470.0,4205837.0,4343983.0,4506512.0,4654354.0,4669163.0,4670522.0,4828942.0,4988466.0,5137710.0,5281379.0,5413736.0,5428065.0,5429816.0,5577997.0,5724632.0,5869023.0,6011817.0,6154556.0,6166405.0,6167089.0,6319486.0,6450255.0,6569794.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36400.0,36400.0,36400.0,37001.0,37634.0,38176.0,38770.0,38770.0,38834.0,38836.0,39250.0,39637.0,40001.0,40308.0,40595.0,40597.0,40597.0,40976.0,41326.0,41677.0,41996.0,42293.0,42296.0,42296.0,42558.0,42905.0,43154.0,43487.0,43789.0,43805.0,43805.0,44097.0,44357.0,44663.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22805.0,22805.0,22805.0,23352.0,23942.0,24756.0,25533.0,25539.0,25539.0,25539.0,26292.0,26935.0,27475.0,28001.0,28525.0,28531.0,28531.0,29360.0,30273.0,31098.0,31744.0,32324.0,32328.0,32328.0,32880.0,33570.0,34110.0,34639.0,35178.0,35191.0,35192.0,35822.0,36355.0,36887.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36325.0,42675.0,43444.0,43449.0,50650.0,56072.0,60869.0,65001.0,69044.0,69199.0,69199.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88974.0,93734.0,98475.0,102840.0,106586.0,106593.0,106593.0,110881.0,116071.0,120691.0,126414.0,131616.0,131736.0,131736.0,136785.0,142267.0,148252.0,153441.0,158441.0,158803.0,158847.0,164762.0,170824.0,176446.0,181693.0,186909.0,187294.0,187480.0,192993.0,198081.0,203017.0,207716.0,208008.0,208463.0,208658.0,211803.0,215272.0,219071.0,222131.0,224681.0,225191.0,225335.0,228612.0,231710.0,234775.0,237382.0,239905.0,240888.0,241022.0,242476.0,243466.0,244333.0,245905.0,247018.0,247561.0,247586.0,248534.0,249446.0,250322.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35194.0,41259.0,41818.0,41818.0,49756.0,56563.0,62584.0,67413.0,72047.0,72199.0,72204.0,75771.0,78302.0,80365.0,82120.0,83707.0,83710.0,83730.0,87304.0,91709.0,96095.0,101094.0,101126.0,101132.0,101138.0,107362.0,112555.0,117271.0,121274.0,127072.0,127278.0,127292.0,132733.0,137846.0,143211.0,148258.0,152730.0,153451.0,153505.0,159604.0,165017.0,170163.0,175212.0,179994.0,180545.0,180707.0,185789.0,189473.0,193501.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12405.0,14954.0,17969.0,20726.0,23607.0,23723.0,23723.0,26371.0,28444.0,30602.0,32732.0,34791.0,34846.0,34846.0,36838.0,38749.0,40071.0,41208.0,43259.0,43454.0,43454.0,44935.0,46142.0,47155.0,47983.0,48991.0,49056.0,49058.0,50188.0,51207.0,52437.0,54079.0,55415.0,55515.0,55515.0,56782.0,58444.0,59976.0,62124.0,63219.0,63283.0,63283.0,64447.0,65749.0,67178.0,68671.0,70183.0,70279.0,70279.0,71634.0,73010.0,74218.0,75380.0,75466.0,75608.0,75609.0,76578.0,77962.0,78887.0,79822.0,80081.0,80082.0,80082.0,81006.0,81927.0,82935.0,83657.0,84336.0,84367.0,84367.0,85110.0,85863.0,86544.0,87171.0,87563.0,87624.0,87624.0,88229.0,88779.0,89336.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17138.0,19881.0,22716.0,22810.0,22810.0,25749.0,28579.0,31262.0,33739.0,35875.0,35920.0,35920.0,38028.0,40129.0,41341.0,42146.0,42909.0,42915.0,42915.0,43797.0,44831.0,45659.0,46533.0,46539.0,46541.0,46542.0,48098.0,49385.0,50616.0,52131.0,53220.0,53272.0,53272.0,54046.0,55770.0,57463.0,59288.0,60191.0,60243.0,60245.0,60894.0,62831.0,64336.0,65055.0,66469.0,66487.0,66490.0,68072.0,69709.0,70993.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72488.0,74797.0,77002.0,79155.0,80874.0,80875.0,80887.0,83350.0,85899.0,88366.0,90626.0,93040.0,93040.0,93040.0,95220.0,97276.0,99009.0,100667.0,100667.0,100667.0,100667.0,102262.0,103771.0,105520.0,106707.0,108210.0,108338.0,108338.0,108752.0,110273.0,111662.0,112777.0,113795.0,113795.0,113795.0,114902.0,116263.0,117169.0,118216.0,119124.0,119124.0,119124.0,119914.0,121031.0,122037.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14622.0,19087.0,19510.0,19511.0,22974.0,25399.0,27619.0,29694.0,32129.0,32497.0,32497.0,34935.0,37658.0,40520.0,42350.0,43582.0,43606.0,43611.0,45283.0,46969.0,48336.0,50231.0,51557.0,51558.0,51558.0,52624.0,53881.0,55321.0,56817.0,56818.0,56818.0,56818.0,59431.0,61475.0,63249.0,65165.0,66734.0,66740.0,66740.0,68669.0,71249.0,73444.0,75549.0,77350.0,77356.0,77356.0,79397.0,81855.0,84115.0,86309.0,88066.0,88070.0,88070.0,89385.0,91587.0,93488.0
