Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70222.0,240594.0,414625.0,583394.0,611245.0,619881.0,841387.0,1083875.0,1356312.0,1607701.0,1836965.0,1866487.0,1870955.0,2136812.0,2356874.0,2544918.0,2700184.0,2842312.0,2851954.0,2853116.0,2961220.0,3055421.0,3141522.0,3227458.0,3305737.0,3315780.0,3316135.0,3453286.0,3612246.0,3770091.0,3914828.0,4051045.0,4060689.0,4061754.0,4198351.0,4337386.0,4473201.0,4644634.0,4795868.0,4820156.0,4822904.0,4980755.0,5147389.0,5298670.0,5447486.0,5587250.0,5610430.0,5613282.0,5760029.0,5910309.0,6064594.0,6222062.0,6388649.0,6401593.0,6402562.0,6553817.0,6687796.0,6814880.0,6949675.0,6951532.0,6953413.0,6954071.0,7034003.0,7127162.0,7222060.0,7298812.0,7369697.0,7380888.0,7381985.0,7460093.0,7535115.0,7614462.0,7676760.0,7735158.0,7743059.0,7743935.0,7787832.0,7827042.0,7858193.0,7914556.0,7954398.0,7960146.0,7960497.0,8003562.0,8042584.0,8086081.0,8116947.0,8167884.0,8168976.0,8169775.0,8245782.0,8326840.0,8408336.0,8489925.0,8574009.0,8591393.0,8592353.0,8695655.0,8803063.0,8907907.0,9004917.0,9108156.0,9109206.0,9109471.0,9234057.0,9370157.0,9495901.0,9624387.0,9632689.0,9659518.0,9663215.0,9839071.0,10028929.0,10209592.0,10376524.0,10521966.0,10563563.0,10572682.0,10728636.0,10868062.0,10977156.0,11032761.0,11075144.0,11089895.0,11091874.0,11145752.0,11205979.0,11282587.0,11378925.0,11459536.0,11482254.0,11483677.0,11588731.0,11673811.0,11779395.0,11850341.0,11911813.0,11928383.0,11930178.0,11937497.0,12037122.0,12112647.0,12161105.0,12199298.0,12210378.0,12211409.0,12212654.0,12252587.0,12300689.0,12387575.0,12453011.0,12468559.0,12470564.0,12518320.0,12562013.0,12635818.0,12693875.0,12744464.0,12764468.0,12766865.0,12816058.0,12896272.0,12950971.0,13022432.0,13024553.0,13034513.0,13035443.0,13083083.0,13123271.0,13156613.0,13192459.0,13250626.0,13273650.0,13275712.0,13291185.0,13300460.0,13307521.0,13316162.0,13324520.0,13325580.0,13325610.0,13425052.0,13537784.0,13542561.0,13545814.0,13548794.0,13549034.0,13549089.0,13625903.0,13693875.0,13696604.0,13698911.0,13700993.0,13701274.0,13701498.0,13739971.0,13774193.0,13776096.0,13777650.0,13778947.0,13779123.0,13779199.0,13804192.0,13826286.0,13840556.0,13842113.0,13843465.0,13843668.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223282.0,389139.0,550822.0,574961.0,581860.0,795953.0,1033521.0,1299113.0,1544803.0,1768001.0,1794169.0,1798008.0,2070485.0,2314147.0,2530197.0,2716370.0,2871142.0,2882158.0,2883330.0,3005358.0,3095989.0,3160805.0,3216046.0,3267172.0,3269920.0,3270343.0,3385874.0,3530588.0,3683848.0,3852407.0,3857587.0,3858933.0,3859396.0,4064300.0,4210989.0,4349424.0,4512243.0,4660342.0,4675181.0,4676537.0,4835468.0,4995803.0,5145992.0,5290900.0,5426721.0,5441108.0,5442870.0,5593947.0,5744098.0,5890562.0,6034937.0,6178738.0,6190675.0,6191367.0,6345021.0,6477550.0,6603199.0,6727748.0,6764684.0,6765892.0,6766559.0,6842437.0,6931086.0,7024748.0,7101444.0,7165340.0,7173550.0,7173995.0,7244420.0,7329790.0,7408319.0,7469004.0,7525260.0,7525667.0,7525838.0,7572924.0,7620631.0,7661904.0,7725267.0,7726630.0,7732914.0,7733503.0,7794644.0,7851580.0,7899973.0,7936266.0,7977171.0,7982952.0,7983927.0,8043592.0,8115181.0,8186990.0,8255578.0,8324046.0,8337110.0,8338340.0,8438435.0,8542914.0,8643268.0,8736897.0,8831241.0,8840640.0,8841235.0,8953707.0,9075726.0,9193127.0,9303156.0,9346588.0,9366461.0,9368608.0,9380940.0,9586425.0,9750124.0,9891309.0,10014226.0,10045957.0,10049335.0,10052470.0,10229974.0,10363908.0,10445765.0,10510606.0,10529602.0,10531704.0,10628353.0,10707224.0,10790737.0,10885448.0,10970410.0,10992239.0,10994777.0,11121209.0,11222103.0,11327514.0,11418028.0,11420628.0,11434078.0,11435280.0,11508337.0,11600797.0,11670878.0,11711825.0,11768522.0,11778674.0,11779533.0,11819883.0,11860886.0,11888460.0,11969631.0,12037744.0,12047878.0,12048317.0,12071976.0,12097345.0,12157054.0,12199910.0,12231435.0,12232346.0,12232367.0,12253535.0,12272987.0,12390685.0,12469900.0,12518929.0,12519935.0,12520134.0,12542069.0,12565779.0,12642654.0,12701791.0,12756279.0,12758088.0,12758284.0,12783086.0,12800982.0,12814381.0,12893609.0,12945651.0,12946758.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33777.0,73394.0,107759.0,117667.0,119457.0,146924.0,167002.0,183731.0,196888.0,200932.0,201325.0,201374.0,205550.0,209228.0,213182.0,216224.0,218600.0,218878.0,218890.0,218968.0,222730.0,235148.0,298716.0,348810.0,358883.0,360138.0,361364.0,393264.0,416167.0,430175.0,441649.0,445080.0,445481.0,455887.0,463477.0,468274.0,472140.0,476058.0,477632.0,477803.0,481891.0,484724.0,487443.0,492749.0,492846.0,493315.0,493417.0,496052.0,497787.0,499189.0,500782.0,502012.0,503438.0,503480.0,504424.0,505201.0,505733.0,506210.0,506485.0,506497.0,506498.0,507496.0,508349.0,508573.0,508755.0,508935.0,508950.0,508950.0,509170.0,509423.0,509528.0,509638.0,509729.0,509742.0,509742.0,510163.0,513238.0,514538.0,516015.0,517886.0,519055.0,519672.0,524603.0,529337.0,532910.0,534378.0,535823.0,536870.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70073.0,160084.0,257076.0,260542.0,260630.0,418852.0,597159.0,707255.0,814714.0,906854.0,910149.0,910568.0,974841.0,1048581.0,1130021.0,1230899.0,1307797.0,1309452.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76621.0,76679.0,76709.0,76750.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55012.0,56178.0,57193.0,57454.0,57515.0,57516.0,59232.0,60289.0,60920.0,61398.0,61489.0,61520.0,61986.0,62481.0,63128.0,63779.0,64238.0,64320.0,64320.0,64700.0,64970.0,65263.0,65523.0,65523.0,65567.0,65600.0,65749.0,65980.0,66223.0,66505.0,66767.0,66834.0,66835.0,66947.0,67132.0,67333.0,67743.0,68031.0,68096.0,68096.0,68317.0,68588.0,69035.0,69482.0,69821.0,69868.0,69868.0,70192.0,70593.0,71012.0,71320.0,71520.0,71622.0,71622.0,71863.0,72100.0,72389.0,72745.0,73027.0,73080.0,73080.0,73227.0,73339.0,73439.0,73585.0,73661.0,73695.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8523.0,8566.0,8585.0,8587.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4738.0,4802.0,4802.0,5247.0,5648.0,5959.0,6265.0,6477.0,6508.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238383.0,240930.0,241916.0,242050.0,243513.0,244527.0,245397.0,246982.0,248100.0,248666.0,248691.0,249646.0,250559.0,251457.0,252166.0,253560.0,253593.0,253629.0,256469.0,259838.0,263029.0,266193.0,269068.0,270307.0,270562.0,274452.0,278332.0,281932.0,285359.0,289043.0,289318.0,289398.0,294019.0,299411.0,304128.0,308655.0,309176.0,310205.0,310409.0,317480.0,325289.0,331148.0,337663.0,343528.0,343777.0,343906.0,350365.0,352809.0,354740.0,357314.0,360362.0,360899.0,360919.0,363970.0,367417.0,371795.0,376144.0,379712.0,380975.0,380998.0,384865.0,388445.0,392706.0,395779.0,398498.0,398852.0,398903.0,399647.0,403508.0,407258.0,408893.0,409641.0,409759.0,409772.0,410216.0,411638.0,413616.0,416795.0,419268.0,419704.0,419738.0,421741.0,423635.0,426516.0,429065.0,431349.0,432032.0,432069.0,434600.0,438215.0,441207.0,444079.0,444862.0,445752.0,445788.0,448710.0,451700.0,454497.0,458351.0,461683.0,462286.0,462306.0,462516.0,462662.0,463227.0,463677.0,463815.0,463819.0,463819.0,467574.0,472443.0,472454.0,472469.0,472476.0,472476.0,472476.0,475707.0,478763.0,478779.0,478802.0,478819.0,478820.0,478821.0,480605.0,482387.0,482417.0,482425.0,482444.0,482444.0,482444.0,484083.0,485394.0,486302.0,486377.0,486388.0,486388.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62603.0,67434.0,72069.0,72224.0,72229.0,75798.0,78345.0,80418.0,82178.0,83770.0,83773.0,83793.0,87377.0,91785.0,96179.0,101188.0,101220.0,101226.0,101232.0,107462.0,112663.0,117389.0,121397.0,127206.0,127413.0,127427.0,132900.0,138043.0,143436.0,148520.0,153197.0,153932.0,153987.0,160204.0,165708.0,170903.0,175991.0,180803.0,181356.0,181518.0,186655.0,190357.0,194459.0,199495.0,201375.0,201534.0,201665.0,204925.0,208503.0,212517.0,215553.0,218152.0,218716.0,218838.0,221685.0,224992.0,227935.0,230125.0,232486.0,232579.0,232688.0,234628.0,236376.0,237750.0,239653.0,239790.0,240093.0,240127.0,241962.0,243662.0,244747.0,245818.0,247233.0,247272.0,247303.0,249500.0,251866.0,254425.0,256834.0,258959.0,259318.0,259366.0,263146.0,266841.0,270295.0,273605.0,276967.0,277596.0,277698.0,281993.0,286575.0,291129.0,295220.0,297192.0,297711.0,297861.0,299160.0,307451.0,314481.0,319420.0,324038.0,324881.0,324908.0,325520.0,330974.0,334373.0,337136.0,339952.0,340521.0,340555.0,344802.0,348459.0,352488.0,356696.0,360074.0,361127.0,361160.0,366375.0,370541.0,374572.0,378586.0,379444.0,380319.0,380384.0,383556.0,387737.0,391367.0,393732.0,395515.0,395776.0,395788.0,397543.0,398858.0,400481.0,403182.0,405298.0,405646.0,405653.0,406341.0,407011.0,408353.0,408985.0,409449.0,409456.0,409456.0,409842.0,410178.0,415081.0,417919.0,419725.0,419750.0,419754.0,420617.0,421872.0,427257.0,430804.0,433394.0,433396.0,433398.0,434546.0,435407.0,436472.0,442128.0,446095.0,446098.0
