Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70210.0,240557.0,414604.0,583234.0,611107.0,619742.0,841169.0,1083616.0,1356095.0,1607343.0,1836536.0,1866042.0,1870507.0,2136337.0,2356337.0,2544326.0,2699560.0,2841664.0,2851303.0,2852467.0,2960578.0,3054790.0,3140806.0,3226727.0,3304828.0,3314865.0,3315217.0,3452276.0,3611115.0,3768702.0,3913188.0,4049240.0,4058961.0,4060026.0,4196288.0,4335068.0,4470548.0,4641409.0,4792115.0,4816333.0,4819031.0,4976502.0,5142640.0,5293568.0,5441661.0,5581093.0,5604231.0,5607208.0,5753337.0,5903147.0,6056523.0,6212957.0,6377569.0,6390271.0,6391237.0,6534522.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9768.0,10363.0,10397.0,10397.0,10402.0,10402.0,10402.0,10402.0,10408.0,10408.0,12516.0,13186.0,13191.0,13191.0,24959.0,44320.0,52649.0,55523.0,55730.0,55764.0,55764.0,55764.0,55774.0,55774.0,55774.0,55774.0,55774.0,55774.0,55795.0,55835.0,56007.0,56151.0,56269.0,56273.0,56273.0,56677.0,69082.0,222972.0,388591.0,549934.0,574041.0,580890.0,794530.0,1031655.0,1296274.0,1541006.0,1763463.0,1789576.0,1793403.0,2065346.0,2308226.0,2523886.0,2709439.0,2863874.0,2874881.0,2876050.0,2997827.0,3087997.0,3152415.0,3207086.0,3257284.0,3260008.0,3260412.0,3370569.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32911.0,33486.0,33506.0,33506.0,34095.0,34798.0,35342.0,35910.0,36457.0,36457.0,36457.0,37021.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19739.0,19808.0,19808.0,20707.0,21613.0,22078.0,22493.0,22805.0,22805.0,22805.0,23310.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88984.0,93743.0,98488.0,102854.0,106599.0,106605.0,106605.0,110892.0,116070.0,120689.0,126405.0,131606.0,131724.0,131724.0,136790.0,142290.0,148290.0,153488.0,158746.0,159109.0,159152.0,165147.0,171258.0,176917.0,182186.0,187405.0,187790.0,187975.0,193279.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28859.0,35190.0,41255.0,41814.0,41814.0,49749.0,56555.0,62578.0,67365.0,71972.0,72124.0,72129.0,75683.0,78206.0,80268.0,82021.0,83606.0,83609.0,83629.0,87139.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34790.0,34845.0,34845.0,36838.0,38749.0,40071.0,41208.0,43258.0,43452.0,43452.0,44934.0,46140.0,47152.0,47980.0,48987.0,49051.0,49053.0,50186.0,51203.0,52426.0,54061.0,55387.0,55483.0,55483.0,56746.0,58407.0,59940.0,62107.0,63205.0,63269.0,63269.0,64445.0,65782.0,67227.0,68572.0,70064.0,70064.0,70064.0,71298.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11782.0,14292.0,17112.0,19855.0,22690.0,22784.0,22784.0,25698.0,28526.0,31207.0,33683.0,35818.0,35863.0,35863.0,37972.0,40073.0,41285.0,42090.0,42853.0,42859.0,42859.0,43706.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37666.0,39539.0,41478.0,42559.0,42612.0,42614.0,44529.0,46960.0,49298.0,51581.0,53111.0,53188.0,53188.0,54568.0,55753.0,56712.0,57862.0,59874.0,60173.0,60173.0,62132.0,64070.0,65906.0,67956.0,69973.0,70077.0,70077.0,72381.0,74674.0,76907.0,79075.0,80813.0,80814.0,80826.0,83322.0,85897.0,88389.0,90664.0,93083.0,93083.0,93083.0,94951.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1741.0,2651.0,3636.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3720.0,3747.0,3747.0,3747.0,3756.0,4427.0,9414.0,14597.0,19060.0,19483.0,19484.0,22914.0,25320.0,27538.0,29586.0,32016.0,32384.0,32384.0,34771.0,37473.0,40173.0,41999.0,43230.0,43254.0,43259.0,44930.0,46616.0,47984.0,49870.0,51189.0,51189.0,51189.0,52124.0
