Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24840.0,44195.0,53500.0,56558.0,56970.0,56970.0,56970.0,56987.0,57008.0,57009.0,57009.0,57009.0,57010.0,57010.0,57010.0,70191.0,240554.0,414580.0,583273.0,611122.0,619756.0,841229.0,1083699.0,1356121.0,1607474.0,1836711.0,1866230.0,1870697.0,2136560.0,2356586.0,2544626.0,2699884.0,2842004.0,2851645.0,2852807.0,2960917.0,3055125.0,3141225.0,3227152.0,3305405.0,3315384.0,3315739.0,3452832.0,3611699.0,3769489.0,3914168.0,4050371.0,4060018.0,4061082.0,4197626.0,4336578.0,4472317.0,4643700.0,4794873.0,4819164.0,4821912.0,4979603.0,5145892.0,5296677.0,5444619.0,5580403.0,5603547.0,5606390.0,5750292.0,5897203.0,6049979.0,6206387.0,6372264.0,6385158.0,6386127.0,6536853.0,6670058.0,6796571.0,6930867.0,6932715.0,6934591.0,6935247.0,7014717.0,7107222.0,7201567.0,7277804.0,7348157.0,7359252.0,7360339.0,7437943.0,7512366.0,7591085.0,7652644.0,7710436.0,7718256.0,7719116.0,7762809.0,7801793.0,7832797.0,7888998.0,7928731.0,7934439.0,7934790.0,7977672.0,8016502.0,8059866.0,8090581.0,8141197.0,8142261.0,8143058.0,8218905.0,8299787.0,8381147.0,8462561.0,8546366.0,8563666.0,8564626.0,8667757.0,8774929.0,8879510.0,8976347.0,9079271.0,9080313.0,9080578.0,9205000.0,9340577.0,9465301.0,9592019.0,9599738.0,9626181.0,9629878.0,9805373.0,9994661.0,10174819.0,10341084.0,10486067.0,10527539.0,10536641.0,10691966.0,10830553.0,10938990.0,10994116.0,11036118.0,11050776.0,11052746.0,11106229.0,11165894.0,11241799.0,11337661.0,11417797.0,11440456.0,11441876.0,11546549.0,11631280.0,11736464.0,11807067.0,11868178.0,11884698.0,11886490.0,11893759.0,11993123.0,12068434.0,12116462.0,12154116.0,12164845.0,12165847.0,12167046.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24966.0,44344.0,52685.0,55569.0,55779.0,55812.0,55812.0,55812.0,55823.0,55823.0,55824.0,55824.0,55824.0,55824.0,55846.0,55886.0,56059.0,56203.0,56321.0,56325.0,56325.0,56734.0,69148.0,223201.0,389003.0,550574.0,574705.0,581599.0,795581.0,1033071.0,1298574.0,1544167.0,1767243.0,1793401.0,1797237.0,2069638.0,2313203.0,2529213.0,2715309.0,2870036.0,2881021.0,2882192.0,3004132.0,3094687.0,3159463.0,3214659.0,3265743.0,3268491.0,3268914.0,3384390.0,3528968.0,3682117.0,3850574.0,3855753.0,3857098.0,3857559.0,4062299.0,4208819.0,4347095.0,4509759.0,4657735.0,4672563.0,4673918.0,4832578.0,4992470.0,5141997.0,5285945.0,5418576.0,5432913.0,5434669.0,5583109.0,5729941.0,5874801.0,6018001.0,6161112.0,6172997.0,6173685.0,6326514.0,6458032.0,6582964.0,6706973.0,6743720.0,6744922.0,6745583.0,6820965.0,6908953.0,7001960.0,7078063.0,7141440.0,7149581.0,7150024.0,7219923.0,7304488.0,7382312.0,7442279.0,7497948.0,7498351.0,7498521.0,7545197.0,7592498.0,7633468.0,7696548.0,7697897.0,7704152.0,7704739.0,7765577.0,7822080.0,7870219.0,7906259.0,7946869.0,7952619.0,7953587.0,8012975.0,8084224.0,8155844.0,8224231.0,8292446.0,8305458.0,8306674.0,8406438.0,8510464.0,8610405.0,8703727.0,8797580.0,8806941.0,8807532.0,8919617.0,9040976.0,9157154.0,9265258.0,9307808.0,9327348.0,9329453.0,9340983.0,9537750.0,9693994.0,9827729.0,9943803.0,9974122.0,9977336.0,9980163.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10439.0,33737.0,73323.0,107631.0,117536.0,119326.0,146772.0,166834.0,183510.0,196626.0,200674.0,201066.0,201115.0,205306.0,208973.0,212886.0,215912.0,218247.0,218524.0,218536.0,218637.0,222364.0,234752.0,298060.0,347639.0,357671.0,358921.0,360129.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52749.0,52749.0,54268.0,55796.0,57059.0,58058.0,59266.0,59595.0,59595.0,60826.0,61811.0,62544.0,62979.0,63244.0,63282.0,63316.0,63656.0,64113.0,64652.0,65274.0,65621.0,65673.0,65717.0,65965.0,66147.0,66318.0,66498.0,66632.0,66648.0,66661.0,66661.0,66853.0,67095.0,67363.0,67641.0,67697.0,67710.0,67710.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44510.0,44562.0,44562.0,45065.0,45559.0,45932.0,46367.0,46660.0,46692.0,46705.0,47120.0,47695.0,48143.0,48543.0,48911.0,48983.0,48993.0,49431.0,49946.0,50543.0,51100.0,51381.0,51591.0,51645.0,51648.0,53479.0,54845.0,55993.0,57001.0,57262.0,57323.0,57324.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4229.0,4497.0,4672.0,4716.0,4722.0,4722.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198109.0,203052.0,207758.0,208051.0,208507.0,208702.0,211851.0,215324.0,219125.0,222187.0,224740.0,225253.0,225397.0,228680.0,231781.0,234849.0,237461.0,239986.0,240970.0,241104.0,242565.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292947.0,298337.0,303051.0,307577.0,308098.0,309127.0,309331.0,316398.0,324206.0,330056.0,336566.0,342419.0,342668.0,342797.0,349250.0,351683.0,353602.0,356170.0,359200.0,359737.0,359757.0,362792.0,366217.0,370567.0,374903.0,378452.0,379713.0,379736.0,383590.0,387163.0,391417.0,394487.0,397199.0,397553.0,397604.0,398342.0,402196.0,405944.0,407574.0,408321.0,408440.0,408453.0,408894.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148312.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189563.0,193650.0,198674.0,200548.0,200707.0,200838.0,204055.0,207601.0,211573.0,214555.0,217110.0,217666.0,217787.0,220592.0,223856.0,226770.0,228939.0,231278.0,231371.0,231480.0,233395.0,235119.0,236471.0,238361.0,238496.0,238791.0,238824.0,240640.0,242305.0,243373.0,244435.0,245845.0,245884.0,245915.0,248102.0,250453.0,253001.0,255403.0,257511.0,257867.0,257915.0,261659.0,265320.0,268759.0,272066.0,275412.0,276041.0,276143.0,280432.0,285008.0,289549.0,293633.0,295601.0,296120.0,296270.0,297433.0,305260.0,311890.0,316576.0,320795.0,321551.0,321577.0,322135.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11692.0,14553.0,15195.0,15199.0,15295.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14958.0,17978.0,20735.0,23618.0,23734.0,23734.0,26383.0,28464.0,30627.0,32758.0,34822.0,34877.0,34877.0,36869.0,38780.0,40104.0,41246.0,43298.0,43494.0,43494.0,44976.0,46184.0,47197.0,48026.0,49031.0,49097.0,49099.0,50229.0,51249.0,52479.0,54121.0,55458.0,55558.0,55558.0,56825.0,58488.0,60022.0,62176.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70384.0,70384.0,71741.0,73120.0,74330.0,75494.0,75580.0,75722.0,75723.0,76693.0,78084.0,79011.0,79947.0,80206.0,80207.0,80207.0,81132.0,82052.0,83055.0,83777.0,84475.0,84506.0,84506.0,85251.0,86007.0,86691.0,87672.0,88080.0,88140.0,88140.0,88749.0,89503.0,90129.0,90555.0,90999.0,91004.0,91004.0,91889.0,92702.0,93844.0,94784.0,95628.0,95712.0,95712.0,96907.0,98201.0,99395.0,100626.0,101727.0,101787.0,101793.0,103044.0,104461.0,105906.0,107432.0,107589.0,108384.0,108384.0,110410.0,112836.0,114894.0,117153.0,119045.0,119459.0,119460.0,121523.0,123443.0,123933.0,123940.0,123958.0,123961.0,123961.0,124143.0,125555.0,127262.0,129265.0,130972.0,131541.0,131546.0,133264.0,134950.0,136521.0,137730.0,138834.0,139140.0,139140.0,139217.0,140562.0,141933.0,143430.0,144694.0,145075.0,145075.0,145075.0
