Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12824.0,13781.0,13804.0,13804.0,24855.0,44215.0,53524.0,56581.0,56993.0,56993.0,56993.0,57010.0,57031.0,57032.0,57032.0,57032.0,57033.0,57033.0,57033.0,70216.0,240583.0,414607.0,583351.0,611201.0,619838.0,841323.0,1083789.0,1356215.0,1607575.0,1836821.0,1866342.0,1870809.0,2136677.0,2356713.0,2544754.0,2700015.0,2842139.0,2851781.0,2852943.0,2961050.0,3055252.0,3141354.0,3227289.0,3305562.0,3315605.0,3315960.0,3453114.0,3612074.0,3769919.0,3914657.0,4050876.0,4060521.0,4061586.0,4198195.0,4337238.0,4473058.0,4644504.0,4795745.0,4820034.0,4822782.0,4980632.0,5147247.0,5298539.0,5447343.0,5587113.0,5610293.0,5613145.0,5759886.0,5910155.0,6064444.0,6221910.0,6388488.0,6401430.0,6402399.0,6553652.0,6687628.0,6814714.0,6949511.0,6951365.0,6953246.0,6953902.0,7033834.0,7126988.0,7221887.0,7298632.0,7369518.0,7380709.0,7381806.0,7459908.0,7534920.0,7614267.0,7676560.0,7734959.0,7742860.0,7743736.0,7787626.0,7826837.0,7857983.0,7914349.0,7954188.0,7959937.0,7960288.0,8003353.0,8042377.0,8085871.0,8116736.0,8167669.0,8168760.0,8169559.0,8245550.0,8326608.0,8408097.0,8489682.0,8573763.0,8591148.0,8592108.0,8695407.0,8802820.0,8907656.0,9004664.0,9107890.0,9108940.0,9109205.0,9233785.0,9369875.0,9495638.0,9624117.0,9632419.0,9659233.0,9662932.0,9838780.0,10028632.0,10209276.0,10376198.0,10521630.0,10563222.0,10572341.0,10728276.0,10867677.0,10976754.0,11032347.0,11074725.0,11089476.0,11091455.0,11145323.0,11205536.0,11282131.0,11378457.0,11459060.0,11481778.0,11483201.0,11588242.0,11673306.0,11778876.0,11849813.0,11911288.0,11927851.0,11929646.0,11936965.0,12036548.0,12112061.0,12160507.0,12198677.0,12209745.0,12210775.0,12212019.0,12251914.0,12299976.0,12386835.0,12452215.0,12467744.0,12469748.0,12517454.0,12561109.0,12634852.0,12692857.0,12743401.0,12763387.0,12765782.0,12814936.0,12895078.0,12949709.0,13021006.0,13023120.0,13033058.0,13033986.0,13081574.0,13121753.0,13155041.0,13190813.0,13248792.0,13271797.0,13273826.0,13289241.0,13298459.0,13305430.0,13313411.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44365.0,52709.0,55596.0,55806.0,55839.0,55839.0,55839.0,55850.0,55850.0,55851.0,55851.0,55851.0,55851.0,55873.0,55913.0,56087.0,56232.0,56350.0,56354.0,56354.0,56763.0,69179.0,223244.0,389074.0,550698.0,574833.0,581731.0,795753.0,1033245.0,1298789.0,1544406.0,1767515.0,1793676.0,1797512.0,2069953.0,2313564.0,2529599.0,2715728.0,2870507.0,2881521.0,2882692.0,3004702.0,3095298.0,3160099.0,3215322.0,3266425.0,3269173.0,3269596.0,3385102.0,3529781.0,3683013.0,3851550.0,3856728.0,3858073.0,3858536.0,4063398.0,4210032.0,4348427.0,4511215.0,4659284.0,4674120.0,4675476.0,4834354.0,4994657.0,5144791.0,5289663.0,5425452.0,5439833.0,5441595.0,5592638.0,5742734.0,5889158.0,6033493.0,6177271.0,6189203.0,6189893.0,6343502.0,6475989.0,6601637.0,6726151.0,6763070.0,6764277.0,6764943.0,6840768.0,6929361.0,7022961.0,7099589.0,7163451.0,7171657.0,7172101.0,7242477.0,7327794.0,7406289.0,7466941.0,7523162.0,7523569.0,7523740.0,7570775.0,7618425.0,7659644.0,7722970.0,7724331.0,7730612.0,7731200.0,7792286.0,7849153.0,7897486.0,7933733.0,7974598.0,7980374.0,7981347.0,8040958.0,8112490.0,8184267.0,8252824.0,8321253.0,8334311.0,8335539.0,8435588.0,8540003.0,8640310.0,8733896.0,8828188.0,8837582.0,8838177.0,8950591.0,9072503.0,9189799.0,9299619.0,9342946.0,9362753.0,9364870.0,9376427.0,9574314.0,9731473.0,9866829.0,9984494.0,10015214.0,10018453.0,10021377.0,10190118.0,10316439.0,10393830.0,10455263.0,10473195.0,10475116.0,10544672.0,10610325.0,10683867.0,10769685.0,10845304.0,10864190.0,10866355.0,10963821.0,11049011.0,11144132.0,11228344.0,11230581.0,11242792.0,11243862.0,11309445.0,11397002.0,11464337.0,11504308.0,11558363.0,11568000.0,11568778.0,11605682.0,11643879.0,11670245.0,11746778.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10452.0,33758.0,73369.0,107719.0,117627.0,119417.0,146877.0,166949.0,183673.0,196824.0,200872.0,201264.0,201313.0,205483.0,209154.0,213108.0,216150.0,218526.0,218804.0,218816.0,218894.0,222656.0,235071.0,298618.0,348696.0,358768.0,360023.0,361248.0,393142.0,416033.0,430037.0,441496.0,444925.0,445325.0,455726.0,463313.0,468107.0,471968.0,475885.0,477458.0,477629.0,481703.0,484536.0,487251.0,492556.0,492653.0,493122.0,493224.0,495855.0,497590.0,498990.0,500576.0,501796.0,503221.0,503263.0,504207.0,504984.0,505511.0,505944.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67133.0,67149.0,67162.0,67162.0,67354.0,67598.0,67869.0,68149.0,68205.0,68218.0,68218.0,68387.0,68552.0,69010.0,69355.0,69414.0,69423.0,69598.0,69837.0,70304.0,70761.0,71091.0,71173.0,71173.0,71459.0,72041.0,72475.0,72893.0,72893.0,73008.0,73039.0,73274.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75042.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46492.0,46786.0,46818.0,46831.0,47247.0,47827.0,48275.0,48675.0,49043.0,49115.0,49125.0,49567.0,50083.0,50681.0,51240.0,51521.0,51731.0,51785.0,51788.0,53625.0,55003.0,56169.0,57183.0,57444.0,57505.0,57506.0,59222.0,60278.0,60908.0,61386.0,61477.0,61508.0,61974.0,62469.0,63115.0,63766.0,64225.0,64307.0,64307.0,64686.0,64955.0,65248.0,65508.0,65508.0,65552.0,65585.0,65734.0,65965.0,66208.0,66490.0,66752.0,66818.0,66819.0,66931.0,67116.0,67317.0,67718.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6010.0,6081.0,6153.0,6260.0,6260.0,6295.0,6302.0,6451.0,6565.0,6666.0,6766.0,6870.0,6902.0,6902.0,6997.0,7063.0,7117.0,7153.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12793.0,15852.0,16036.0,16036.0,19620.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88980.0,93741.0,98488.0,102857.0,106602.0,106609.0,106609.0,110897.0,116088.0,120708.0,126430.0,131634.0,131753.0,131753.0,136821.0,142328.0,148332.0,153548.0,158816.0,159178.0,159222.0,165233.0,171356.0,177016.0,182287.0,187517.0,187902.0,188088.0,193641.0,198739.0,203697.0,208410.0,208703.0,209159.0,209354.0,212535.0,216029.0,219860.0,222954.0,225539.0,226058.0,226202.0,229513.0,232646.0,235741.0,238370.0,240917.0,241903.0,242037.0,243499.0,244513.0,245383.0,246968.0,248085.0,248651.0,248676.0,249631.0,250544.0,251442.0,252151.0,253544.0,253577.0,253613.0,256452.0,259820.0,263011.0,266174.0,269049.0,270288.0,270543.0,274433.0,278313.0,281913.0,285340.0,289024.0,289299.0,289379.0,294000.0,299392.0,304109.0,308636.0,309157.0,310186.0,310390.0,317461.0,325270.0,331130.0,337645.0,343507.0,343756.0,343885.0,350344.0,352787.0,354719.0,357293.0,360339.0,360876.0,360896.0,363948.0,367394.0,371771.0,376121.0,379690.0,380953.0,380976.0,384843.0,388423.0,392683.0,395756.0,398475.0,398829.0,398880.0,399624.0,403484.0,407234.0,408868.0,409616.0,409735.0,409748.0,410192.0,411611.0,413589.0,416766.0,419235.0,419671.0,419705.0,421708.0,423600.0,426480.0,429025.0,431307.0,431990.0,432027.0,434555.0,438168.0,441160.0,444032.0,444813.0,445701.0,445737.0,448658.0,451647.0,454443.0,458296.0,461627.0,462230.0,462250.0,462460.0,462605.0,463125.0,463574.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56572.0,62594.0,67424.0,72059.0,72214.0,72219.0,75788.0,78326.0,80390.0,82146.0,83735.0,83738.0,83758.0,87335.0,91741.0,96132.0,101138.0,101170.0,101176.0,101182.0,107409.0,112604.0,117323.0,121327.0,127133.0,127340.0,127354.0,132817.0,137958.0,143350.0,148431.0,153104.0,153839.0,153894.0,160103.0,165591.0,170777.0,175854.0,180659.0,181212.0,181374.0,186498.0,190193.0,194294.0,199327.0,201205.0,201364.0,201495.0,204736.0,208306.0,212306.0,215307.0,217899.0,218461.0,218583.0,221416.0,224714.0,227650.0,229833.0,232190.0,232283.0,232392.0,234315.0,236057.0,237414.0,239306.0,239443.0,239746.0,239779.0,241606.0,243290.0,244362.0,245425.0,246839.0,246878.0,246909.0,249097.0,251452.0,254003.0,256406.0,258519.0,258877.0,258925.0,262694.0,266373.0,269819.0,273128.0,276480.0,277109.0,277211.0,281504.0,286084.0,290632.0,294720.0,296689.0,297208.0,297358.0,298522.0,306354.0,312997.0,317693.0,321918.0,322677.0,322703.0,323278.0,328188.0,331286.0,333894.0,336583.0,337137.0,337170.0,340446.0,343705.0,347386.0,351252.0,354248.0,355194.0,355226.0,359212.0,362825.0,366557.0,370234.0,371037.0,371839.0,371901.0,374830.0,378805.0,382260.0,384524.0,386207.0,386447.0,386458.0,387906.0,389130.0,390690.0,393314.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.0,5941.0,7632.0,8425.0,8456.0,8456.0,8951.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9146.0,11696.0,14557.0,15198.0,15202.0,15300.0,17032.0,18023.0,18561.0,19122.0,19162.0,19177.0,19620.0,19961.0,20167.0,20299.0,20381.0,20543.0,20550.0,20767.0,20896.0,20954.0,20975.0,20978.0,20982.0,20982.0,21006.0,21019.0,21035.0,21058.0,21066.0,21067.0,21068.0,21068.0,21068.0,21078.0,21078.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12419.0,14972.0,17992.0,20749.0,23634.0,23751.0,23751.0,26402.0,28482.0,30643.0,32774.0,34838.0,34893.0,34893.0,36885.0,38796.0,40120.0,41262.0,43315.0,43511.0,43511.0,44996.0,46205.0,47219.0,48048.0,49053.0,49117.0,49119.0,50255.0,51275.0,52507.0,54150.0,55486.0,55585.0,55585.0,56858.0,58527.0,60069.0,62249.0,63345.0,63409.0,63409.0,64587.0,65930.0,67381.0,68881.0,70419.0,70549.0,70549.0,71911.0,73302.0,74518.0,75682.0,75768.0,75910.0,75911.0,76882.0,78280.0,79215.0,80157.0,80416.0,80417.0,80417.0,81342.0,82271.0,83281.0,84003.0,84702.0,84733.0,84733.0,85479.0,86237.0,86924.0,87905.0,88313.0,88377.0,88377.0,88989.0,89744.0,90375.0,90802.0,91247.0,91252.0,91252.0,92143.0,92961.0,94107.0,95047.0,95892.0,95977.0,95977.0,97173.0,98472.0,99672.0,100905.0,102007.0,102067.0,102073.0,103333.0,104761.0,106225.0,107762.0,107920.0,108725.0,108725.0,110770.0,113210.0,115272.0,117542.0,119492.0,119912.0,119913.0,122001.0,123926.0,124422.0,124429.0,124447.0,124450.0,124450.0,124633.0,126056.0,127768.0,129805.0,131518.0,132088.0,132095.0,133817.0,135509.0,137147.0,138361.0,139467.0,139773.0,139773.0,139850.0,141201.0,142577.0,144079.0,145330.0,145741.0,145741.0,145744.0,145958.0,146199.0,146913.0,147462.0,147634.0,147634.0,148079.0,148639.0,149444.0,150575.0,151653.0,152074.0,152074.0,153193.0,154601.0,155761.0,156790.0,156790.0,157293.0,157293.0,158488.0,159551.0,160545.0,161732.0,163046.0,163820.0,163820.0,164164.0,164615.0,165231.0,165671.0
