Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240559.0,414606.0,583236.0,611109.0,619744.0,841171.0,1083619.0,1356098.0,1607346.0,1836539.0,1866045.0,1870510.0,2136340.0,2356334.0,2544331.0,2699567.0,2841671.0,2851310.0,2852474.0,2960585.0,3054798.0,3140817.0,3226741.0,3304845.0,3314882.0,3315237.0,3452336.0,3611226.0,3768822.0,3913308.0,4049365.0,4059086.0,4060151.0,4196401.0,4335182.0,4470667.0,4641553.0,4792278.0,4816496.0,4819194.0,4976687.0,5142836.0,5293767.0,5441888.0,5581351.0,5604489.0,5607466.0,5753623.0,5903434.0,6056936.0,6213843.0,6378951.0,6391717.0,6392683.0,6542904.0,6668300.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9768.0,10363.0,10397.0,10397.0,10402.0,10402.0,10402.0,10402.0,10408.0,10408.0,12516.0,13186.0,13191.0,13191.0,24960.0,44322.0,52651.0,55525.0,55733.0,55767.0,55767.0,55767.0,55777.0,55777.0,55777.0,55777.0,55777.0,55777.0,55798.0,55838.0,56010.0,56154.0,56272.0,56276.0,56276.0,56680.0,69084.0,222985.0,388615.0,549959.0,574067.0,580916.0,794565.0,1031698.0,1296326.0,1541078.0,1763557.0,1789670.0,1793497.0,2065482.0,2308363.0,2524025.0,2709619.0,2864142.0,2875152.0,2876326.0,2998120.0,3088297.0,3152772.0,3207702.0,3258063.0,3260791.0,3261209.0,3375742.0,3513361.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32911.0,33486.0,33506.0,33506.0,34095.0,34798.0,35342.0,35910.0,36456.0,36456.0,36456.0,37064.0,37627.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19739.0,19808.0,19808.0,20707.0,21613.0,22078.0,22493.0,22805.0,22805.0,22805.0,23351.0,23915.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88985.0,93745.0,98490.0,102856.0,106601.0,106607.0,106607.0,110894.0,116072.0,120691.0,126407.0,131608.0,131726.0,131726.0,136792.0,142292.0,148292.0,153490.0,158748.0,159111.0,159154.0,165149.0,171260.0,176919.0,182188.0,187407.0,187792.0,187977.0,193527.0,198495.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28859.0,35190.0,41255.0,41814.0,41814.0,49749.0,56555.0,62578.0,67366.0,71973.0,72125.0,72130.0,75684.0,78207.0,80269.0,82022.0,83607.0,83610.0,83630.0,87202.0,91579.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44935.0,46141.0,47153.0,47981.0,48988.0,49052.0,49054.0,50187.0,51204.0,52427.0,54062.0,55388.0,55484.0,55484.0,56747.0,58408.0,59941.0,62108.0,63206.0,63270.0,63270.0,64446.0,65783.0,67228.0,68689.0,70181.0,70181.0,70181.0,71537.0,72672.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11784.0,14294.0,17114.0,19857.0,22692.0,22786.0,22786.0,25700.0,28528.0,31209.0,33685.0,35821.0,35866.0,35866.0,37975.0,40076.0,41288.0,42093.0,42855.0,42861.0,42861.0,43738.0,44730.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37666.0,39539.0,41478.0,42559.0,42612.0,42614.0,44529.0,46960.0,49298.0,51581.0,53111.0,53188.0,53188.0,54568.0,55753.0,56712.0,57862.0,59874.0,60173.0,60173.0,62132.0,64070.0,65906.0,67956.0,69973.0,70077.0,70077.0,72381.0,74674.0,76907.0,79075.0,80813.0,80814.0,80826.0,83322.0,85898.0,88390.0,90667.0,93089.0,93089.0,93089.0,95273.0,96999.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1741.0,2651.0,3636.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3720.0,3747.0,3747.0,3747.0,3756.0,4427.0,9414.0,14597.0,19060.0,19483.0,19484.0,22914.0,25320.0,27538.0,29586.0,32017.0,32385.0,32385.0,34772.0,37474.0,40174.0,42000.0,43231.0,43255.0,43260.0,44931.0,46619.0,47987.0,49879.0,51203.0,51204.0,51204.0,52268.0,53391.0
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12770.0,17624.0,22450.0,22458.0,22458.0,30284.0,39149.0,49225.0,58809.0,67614.0,68095.0,68095.0,79287.0,88129.0,96179.0,103096.0,109573.0,109617.0,109622.0,115834.0,121094.0,125678.0,130494.0,134455.0,134591.0,134591.0,142050.0,150061.0,157570.0,163925.0,169469.0,169519.0,169519.0,175511.0,181701.0,187391.0,193879.0,199525.0,199730.0,199730.0,206111.0,212767.0,218495.0,224076.0,229495.0,229597.0,229597.0,235586.0,241428.0,247448.0,253754.0,260326.0,260758.0,260758.0,266456.0,271438.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,6431.0,8042.0,8545.0,8557.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8591.0,8593.0,8597.0,8610.0,8639.0,8642.0,8642.0,8642.0,8646.0,8710.0,12361.0,16939.0,21451.0,21470.0,21471.0,28872.0,37366.0,47374.0,56614.0,65116.0,65472.0,65474.0,77475.0,87653.0,97181.0,106139.0,113507.0,113555.0,113558.0,120787.0,124996.0,128045.0,130477.0,132768.0,132846.0,132847.0,138229.0,144729.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,946.0,13339.0,22449.0,30503.0,31632.0,31634.0,42807.0,57234.0,72084.0,86317.0,100197.0,102272.0,102273.0,118679.0,132776.0,143397.0,152466.0,160763.0,161145.0,161145.0,168624.0,175437.0,181203.0,186068.0,191188.0,191801.0,191802.0,199324.0,209516.0,217981.0,225508.0,232542.0,232952.0,232952.0,240909.0,248738.0,256744.0,266739.0,275916.0,276614.0,276614.0,285619.0,295001.0,303367.0,311165.0,318784.0,319208.0,319208.0,326476.0,333592.0,340955.0,348062.0,355178.0,355467.0,355467.0,362577.0,368400.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12142.0,20922.0,28652.0,29851.0,29855.0,40690.0,54188.0,68595.0,82397.0,96189.0,98107.0,98115.0,114861.0,130177.0,141994.0,152082.0,161626.0,161924.0,161925.0,169508.0,175254.0,180269.0,184092.0,187667.0,187744.0,187744.0,194567.0,203469.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18287.0,26912.0,30496.0,31182.0,44059.0,57031.0,70060.0,82188.0,93496.0,96638.0,96762.0,110865.0,121562.0,129259.0,135960.0,142294.0,142680.0,142687.0,148295.0,153544.0,158606.0,163561.0,169034.0,169372.0,169372.0,175428.0,182090.0,188554.0,194282.0,199518.0,200300.0,200411.0,206351.0,212799.0,218910.0,225924.0,232621.0,234099.0,234114.0,241252.0,249396.0,256188.0,262885.0,268187.0,269115.0,269123.0,275068.0,282009.0,289608.0,297065.0,303840.0,304391.0,304391.0,310192.0,315903.0
