Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70189.0,240549.0,414569.0,583224.0,611072.0,619706.0,841169.0,1083633.0,1356147.0,1607406.0,1836632.0,1866141.0,1870607.0,2136458.0,2356448.0,2544481.0,2699718.0,2841833.0,2851472.0,2852636.0,2960744.0,3054953.0,3141043.0,3226963.0,3305178.0,3315155.0,3315510.0,3452587.0,3611452.0,3769236.0,3913913.0,4050118.0,4059763.0,4060827.0,4197354.0,4336305.0,4472037.0,4643424.0,4794591.0,4818887.0,4821633.0,4979305.0,5145588.0,5296366.0,5444307.0,5580083.0,5603228.0,5606074.0,5749972.0,5896875.0,6049644.0,6206051.0,6371911.0,6384779.0,6385748.0,6536450.0,6669649.0,6796151.0,6930430.0,6932277.0,6934152.0,6934808.0,7014274.0,7106750.0,7201063.0,7277293.0,7347628.0,7358720.0,7359807.0,7437402.0,7511804.0,7590512.0,7652058.0,7709833.0,7717653.0,7718512.0,7762188.0,7801133.0,7832120.0,7888267.0,7927989.0,7933697.0,7934048.0,7976904.0,8015706.0,8059037.0,8089725.0,8140302.0,8141355.0,8142149.0,8217875.0,8298658.0,8379907.0,8461211.0,8544607.0,8561883.0,8562840.0,8665821.0,8772821.0,8877261.0,8973797.0,9076489.0,9077588.0,9077853.0,9202068.0,9337437.0,9461879.0,9588393.0,9596102.0,9622379.0,9626065.0,9801227.0,9989575.0,10169122.0,10334082.0,10476788.0,10517054.0,10526028.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44337.0,52673.0,55557.0,55767.0,55801.0,55801.0,55801.0,55812.0,55812.0,55812.0,55812.0,55812.0,55812.0,55833.0,55873.0,56046.0,56190.0,56308.0,56312.0,56312.0,56720.0,69133.0,223145.0,388917.0,550440.0,574568.0,581461.0,795405.0,1032840.0,1298282.0,1543826.0,1766857.0,1792993.0,1796827.0,2069195.0,2312635.0,2528583.0,2714622.0,2869320.0,2880302.0,2881478.0,3003388.0,3093896.0,3158641.0,3213825.0,3264843.0,3267588.0,3268009.0,3383435.0,3527976.0,3681083.0,3849470.0,3854645.0,3855990.0,3856451.0,4061103.0,4207557.0,4345779.0,4508387.0,4656313.0,4671133.0,4672488.0,4831063.0,4990837.0,5140255.0,5284135.0,5416708.0,5431039.0,5432792.0,5581167.0,5727940.0,5872727.0,6015822.0,6158869.0,6170730.0,6171416.0,6324171.0,6455609.0,6580460.0,6704393.0,6741107.0,6742307.0,6742966.0,6818247.0,6906143.0,6999050.0,7075104.0,7138425.0,7146543.0,7146986.0,7216818.0,7301279.0,7379037.0,7438937.0,7494519.0,7494921.0,7495089.0,7541655.0,7588815.0,7629699.0,7692649.0,7693994.0,7700230.0,7700816.0,7761559.0,7817896.0,7865877.0,7901683.0,7941845.0,7947471.0,7948421.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45072.0,45493.0,45594.0,45594.0,46071.0,46540.0,46924.0,47335.0,47654.0,47689.0,47689.0,48118.0,48578.0,49061.0,49431.0,49810.0,49891.0,49893.0,50359.0,50967.0,51630.0,52309.0,52309.0,52727.0,52727.0,54246.0,55772.0,57035.0,58026.0,59216.0,59545.0,59545.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27484.0,28010.0,28536.0,28542.0,28542.0,29371.0,30285.0,31110.0,31757.0,32339.0,32343.0,32343.0,32896.0,33587.0,34127.0,34659.0,35198.0,35211.0,35212.0,35842.0,36377.0,36928.0,37538.0,37727.0,37727.0,37727.0,38066.0,38480.0,38878.0,39196.0,39456.0,39468.0,39468.0,39784.0,40176.0,40524.0,40763.0,40956.0,40965.0,40968.0,41357.0,41778.0,42042.0,42423.0,42424.0,42471.0,42471.0,42876.0,43226.0,43674.0,43993.0,44482.0,44534.0,44534.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73110.0,76678.0,79904.0,82251.0,84797.0,84797.0,84797.0,88971.0,93730.0,98471.0,102837.0,106583.0,106590.0,106590.0,110878.0,116069.0,120689.0,126412.0,131616.0,131735.0,131735.0,136785.0,142270.0,148255.0,153447.0,158451.0,158813.0,158857.0,164774.0,170840.0,176463.0,181712.0,186926.0,187311.0,187497.0,193012.0,198100.0,203042.0,207747.0,208040.0,208496.0,208691.0,211840.0,215313.0,219114.0,222175.0,224728.0,225241.0,225385.0,228667.0,231767.0,234835.0,237447.0,239972.0,240956.0,241090.0,242549.0,243541.0,244408.0,245990.0,247104.0,247648.0,247673.0,248627.0,249540.0,250438.0,251145.0,252534.0,252567.0,252603.0,255439.0,258804.0,261990.0,265149.0,268015.0,269246.0,269500.0,273372.0,277240.0,280834.0,284257.0,287938.0,288212.0,288292.0,292906.0,298294.0,303006.0,307532.0,308053.0,309082.0,309286.0,316349.0,324156.0,330000.0,336506.0,342356.0,342605.0,342717.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72205.0,72210.0,75777.0,78311.0,80375.0,82130.0,83718.0,83721.0,83741.0,87316.0,91721.0,96107.0,101109.0,101141.0,101147.0,101153.0,107377.0,112570.0,117289.0,121292.0,127092.0,127298.0,127312.0,132755.0,137872.0,143241.0,148292.0,152768.0,153489.0,153543.0,159645.0,165064.0,170214.0,175265.0,180051.0,180602.0,180764.0,185849.0,189531.0,193617.0,198638.0,200512.0,200671.0,200801.0,204016.0,207558.0,211528.0,214509.0,217063.0,217616.0,217737.0,220540.0,223803.0,226716.0,228886.0,231223.0,231316.0,231425.0,233339.0,235062.0,236413.0,238303.0,238438.0,238732.0,238765.0,240581.0,242245.0,243312.0,244371.0,245780.0,245819.0,245846.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17972.0,20729.0,23610.0,23726.0,23726.0,26374.0,28447.0,30605.0,32735.0,34794.0,34849.0,34849.0,36841.0,38752.0,40076.0,41213.0,43265.0,43460.0,43460.0,44942.0,46149.0,47162.0,47990.0,48998.0,49064.0,49066.0,50196.0,51216.0,52446.0,54088.0,55425.0,55525.0,55525.0,56792.0,58454.0,59988.0,62138.0,63233.0,63297.0,63297.0,64460.0,65763.0,67192.0,68685.0,70220.0,70323.0,70323.0,71679.0,73058.0,74268.0,75432.0,75518.0,75660.0,75661.0,76632.0,78019.0,78946.0,79882.0,80141.0,80142.0,80142.0,81066.0,81987.0,82996.0,83718.0,84416.0,84447.0,84447.0,85192.0,85947.0,86629.0,87609.0,88018.0,88078.0,88078.0,88686.0,89441.0,90067.0,90493.0,90936.0,90940.0,90940.0,91809.0,92622.0,93755.0,94693.0,95492.0,95573.0,95573.0,96733.0,98027.0,99183.0,100259.0,101358.0,101419.0,101425.0,102673.0,104088.0,105533.0,107055.0,107211.0,108004.0,108004.0,110013.0,112331.0,114382.0,116625.0,118359.0,118719.0,118719.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14324.0,17149.0,19893.0,22730.0,22824.0,22824.0,25765.0,28596.0,31283.0,33775.0,35912.0,35957.0,35957.0,38068.0,40169.0,41381.0,42186.0,42950.0,42956.0,42956.0,43838.0,44873.0,45700.0,46575.0,46582.0,46586.0,46587.0,48145.0,49433.0,50665.0,52194.0,53284.0,53337.0,53337.0,54113.0,55845.0,57542.0,59371.0,60285.0,60337.0,60339.0,60987.0,62927.0,64433.0,65153.0,66612.0,66631.0,66634.0,68223.0,69868.0,71183.0,72249.0,72635.0,72635.0,72636.0,73545.0,74645.0,75512.0,75697.0,75911.0,75919.0,75919.0,77081.0,78288.0,79142.0,79657.0,80253.0,80269.0,80272.0,81188.0,82150.0,82912.0,83653.0,83694.0,83846.0,83847.0,84689.0,85493.0,86134.0,86850.0,87354.0,87393.0,87396.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20007.0,20461.0,20461.0,24061.0,26476.0,28707.0,30772.0,33281.0,33758.0,33758.0,35866.0,37718.0,39610.0,41549.0,42631.0,42684.0,42686.0,44601.0,47033.0,49369.0,51654.0,53184.0,53261.0,53261.0,54641.0,55825.0,56793.0,57945.0,59964.0,60263.0,60263.0,62237.0,64187.0,66033.0,68087.0,70112.0,70216.0,70216.0,72551.0,74860.0,77067.0,79218.0,80937.0,80938.0,80950.0,83415.0,85963.0,88435.0,90698.0,93113.0,93113.0,93113.0,95296.0,97354.0,99087.0,100749.0,100749.0,100749.0,100749.0,102347.0,103864.0,105617.0,106816.0,108323.0,108454.0,108454.0,108870.0,110394.0,111788.0,112910.0,113931.0,113931.0,113931.0,115040.0,116412.0,117318.0,118368.0,119281.0,119281.0,119281.0,120072.0,121192.0,122285.0,123131.0,124238.0,124238.0,124238.0,125707.0,127229.0,128538.0,129864.0,131258.0,131447.0,131447.0,132978.0,134747.0,136330.0,137678.0,139311.0,139335.0,139335.0,140997.0,142980.0,144943.0,146759.0,146759.0,146806.0,146806.0,149832.0,153159.0,156330.0,159088.0,161234.0,161236.0,161236.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1742.0,2659.0,3656.0,3735.0,3735.0,3735.0,3735.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3743.0,3770.0,3770.0,3770.0,3779.0,4451.0,9447.0,14639.0,19114.0,19537.0,19538.0,23010.0,25439.0,27659.0,29744.0,32183.0,32551.0,32551.0,35016.0,37792.0,40656.0,42490.0,43723.0,43747.0,43752.0,45426.0,47113.0,48481.0,50377.0,51703.0,51704.0,51704.0,52773.0,54032.0,55474.0,56971.0,56972.0,56972.0,56972.0,59611.0,61659.0,63435.0,65353.0,66924.0,66930.0,66930.0,68865.0,71455.0,73655.0,75835.0,77638.0,77644.0,77644.0,79690.0,82151.0,84414.0,86613.0,88376.0,88380.0,88380.0,89696.0,91909.0,94135.0,95933.0,96718.0,96718.0,96718.0,97928.0,99368.0,101098.0,102231.0,103204.0,103268.0,103268.0,104126.0,105768.0,107074.0,108117.0,108818.0,108818.0,108818.0,109910.0,111333.0,112449.0,113671.0,113671.0,113680.0,113680.0,114780.0,116150.0,117235.0,117985.0,118589.0,118593.0,118595.0
