Region,Dosis,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Total,Primera,,,,,,,,,,3081.0,3610.0,4288.0,4990.0,5534.0,6494.0,105817.0,133639.0,183547.0,199911.0,208328.0,209477.0,160100.0,196581.0,223898.0,224102.0,230827.0,222690.0,238479.0,247506.0,267926.0,271660.0,277631.0,283450.0,293261.0,295506.0,287699.0,274419.0,263702.0,255335.0,247594.0,241933.0,250763.0,255459.0,240764.0,233980.0,224055.0,219097.0,219799.0,229519.0,235107.0,236496.0,236407.0,232138.0,225490.0,217417.0,222934.0,227091.0,228223.0,230068.0,229241.0,226193.0,226279.0,216096.0,214250.0,198505.0,192494.0,187741.0,178939.0,170785.0,155956.0,154543.0,141781.0,131455.0,124090.0,119386.0
Total,Segunda,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,28008.0,31350.0,99944.0,153198.0,178977.0,186370.0,146142.0,183143.0,209386.0,209406.0,215277.0,207176.0,222218.0,231138.0,251455.0,255565.0,261958.0,267936.0,278043.0,280753.0,273979.0,262049.0,252137.0,244652.0,237794.0,232760.0,241734.0,246672.0,232707.0,226666.0,217388.0,212948.0,213954.0,223787.0,229328.0,230897.0,231250.0,227163.0,221151.0,213216.0,218836.0,223147.0,224501.0,226458.0,225691.0,223002.0,222968.0,213186.0,211369.0,195783.0,190079.0,185552.0,176846.0,168932.0,154301.0,152965.0,140309.0,130196.0,122922.0,118111.0
Total,Unica,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79427.0,37213.0,20886.0,18308.0,23062.0,37577.0,29180.0,24685.0,18065.0,16829.0,16358.0,16143.0,15296.0,14488.0,13784.0,12868.0,12002.0,11152.0,10387.0,9734.0,9576.0,9679.0,8733.0,8190.0,7611.0,7004.0,6812.0,6210.0,6412.0,5907.0,5517.0,5113.0,4761.0,4368.0,4288.0,4116.0,3825.0,3600.0,3451.0,3139.0,3070.0,2737.0,1300.0,174.0,97.0,85.0,92.0,54.0,45.0,32.0,39.0,28.0,26.0,17.0
Antofagasta,Primera,72.0,97.0,121.0,159.0,149.0,181.0,3699.0,4804.0,7363.0,7499.0,7652.0,7773.0,5532.0,7637.0,8615.0,8993.0,9444.0,8311.0,9081.0,10301.0,10984.0,11530.0,11658.0,11625.0,12045.0,12024.0,11731.0,11288.0,10774.0,10312.0,10077.0,9395.0,9691.0,9891.0,9605.0,9265.0,8684.0,8752.0,8774.0,8727.0,8788.0,8926.0,8854.0,8414.0,8106.0,7532.0,7192.0,7070.0,6908.0,7075.0,7010.0,7041.0,6910.0,6415.0,6418.0,5775.0,5455.0,5369.0,5099.0,4760.0,4271.0,4127.0,3804.0,3299.0,3167.0,2861.0,2601.0,2482.0,2233.0,2131.0,1976.0,1806.0,1685.0,1433.0,9573.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,712.0,826.0,4419.0,5866.0,6601.0,6903.0,4861.0,6948.0,7860.0,8184.0,8578.0,7437.0,8146.0,9327.0,10108.0,10720.0,10843.0,10830.0,11242.0,11277.0,11054.0,10681.0,10217.0,9823.0,9593.0,8957.0,9247.0,9472.0,9210.0,8873.0,8370.0,8459.0,8487.0,8456.0,8508.0,8652.0,8594.0,8182.0,7925.0,7355.0,7007.0,6918.0,6767.0,6914.0,6861.0,6892.0,6785.0,6296.0,6321.0,5683.0,5379.0,5294.0,5021.0,4706.0,4209.0,4075.0,3763.0,3266.0,3134.0,2826.0,2563.0,2457.0,2205.0,2106.0,1956.0,1777.0,1660.0,1409.0,9378.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3272.0,1306.0,629.0,523.0,504.0,1916.0,1977.0,1006.0,726.0,635.0,623.0,621.0,526.0,525.0,484.0,482.0,436.0,374.0,373.0,379.0,335.0,324.0,285.0,286.0,272.0,251.0,219.0,173.0,180.0,150.0,136.0,120.0,119.0,102.0,94.0,79.0,81.0,83.0,76.0,57.0,73.0,49.0,16.0,3.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Arica y Parinacota,Primera,53.0,58.0,63.0,75.0,80.0,105.0,1731.0,2043.0,2382.0,2672.0,2787.0,2909.0,2626.0,2776.0,3215.0,3179.0,3366.0,3144.0,3306.0,3353.0,3400.0,3368.0,3380.0,3496.0,3580.0,3633.0,3501.0,3498.0,3489.0,3331.0,3357.0,3088.0,3274.0,3276.0,3055.0,2972.0,2859.0,2737.0,2857.0,2759.0,2970.0,3064.0,3064.0,2928.0,2938.0,2666.0,2523.0,2463.0,2549.0,2534.0,2554.0,2529.0,2632.0,2323.0,2370.0,2240.0,2239.0,2162.0,2078.0,2029.0,1979.0,1877.0,1718.0,1578.0,1547.0,1461.0,1424.0,1377.0,1309.0,1229.0,1056.0,1126.0,959.0,808.0,5437.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,1043.0,1263.0,1733.0,2182.0,2372.0,2513.0,2406.0,2553.0,2949.0,2891.0,3056.0,2861.0,3022.0,3048.0,3128.0,3114.0,3087.0,3234.0,3316.0,3391.0,3281.0,3318.0,3278.0,3168.0,3169.0,2921.0,3111.0,3112.0,2923.0,2819.0,2705.0,2622.0,2752.0,2643.0,2848.0,2943.0,2960.0,2827.0,2834.0,2562.0,2443.0,2404.0,2481.0,2477.0,2495.0,2470.0,2570.0,2271.0,2313.0,2192.0,2197.0,2124.0,2040.0,1990.0,1938.0,1842.0,1692.0,1548.0,1523.0,1434.0,1402.0,1358.0,1289.0,1207.0,1040.0,1106.0,936.0,786.0,5301.0
Arica y Parinacota,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,458.0,324.0,328.0,346.0,544.0,435.0,450.0,361.0,353.0,295.0,341.0,307.0,283.0,312.0,276.0,279.0,250.0,239.0,218.0,253.0,230.0,219.0,201.0,194.0,187.0,174.0,156.0,174.0,160.0,150.0,120.0,122.0,131.0,105.0,90.0,91.0,93.0,83.0,73.0,94.0,62.0,30.0,6.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
